#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            quantis-16M2-win.bin|  1.83e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.89113606|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.66154139|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.87048748|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.21128036|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.26951494|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.34934439|  PASSED  
         diehard_dna|   0|   2097152|     100|0.49120001|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.69293879|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.66536385|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33358085|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.00473137|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.11986746|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55756943|  PASSED  
        diehard_sums|   0|       100|     100|0.64654345|  PASSED  
        diehard_runs|   0|    100000|     100|0.66788992|  PASSED  
        diehard_runs|   0|    100000|     100|0.36280668|  PASSED  
       diehard_craps|   0|    200000|     100|0.92234937|  PASSED  
       diehard_craps|   0|    200000|     100|0.91625464|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75746492|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99162067|  PASSED  
         sts_monobit|   1|    100000|     100|0.86790212|  PASSED  
            sts_runs|   2|    100000|     100|0.20006684|  PASSED  
          sts_serial|   1|    100000|     100|0.18960669|  PASSED  
          sts_serial|   2|    100000|     100|0.94352555|  PASSED  
          sts_serial|   3|    100000|     100|0.40934388|  PASSED  
          sts_serial|   3|    100000|     100|0.60061760|  PASSED  
          sts_serial|   4|    100000|     100|0.14251214|  PASSED  
          sts_serial|   4|    100000|     100|0.02247834|  PASSED  
          sts_serial|   5|    100000|     100|0.00849302|  PASSED  
          sts_serial|   5|    100000|     100|0.41823429|  PASSED  
          sts_serial|   6|    100000|     100|0.05946336|  PASSED  
          sts_serial|   6|    100000|     100|0.36020973|  PASSED  
          sts_serial|   7|    100000|     100|0.27732705|  PASSED  
          sts_serial|   7|    100000|     100|0.30523516|  PASSED  
          sts_serial|   8|    100000|     100|0.96910308|  PASSED  
          sts_serial|   8|    100000|     100|0.56039538|  PASSED  
          sts_serial|   9|    100000|     100|0.93188858|  PASSED  
          sts_serial|   9|    100000|     100|0.43272613|  PASSED  
          sts_serial|  10|    100000|     100|0.83626807|  PASSED  
          sts_serial|  10|    100000|     100|0.64731503|  PASSED  
          sts_serial|  11|    100000|     100|0.17709418|  PASSED  
          sts_serial|  11|    100000|     100|0.25829819|  PASSED  
          sts_serial|  12|    100000|     100|0.00212200|   WEAK   
          sts_serial|  12|    100000|     100|0.00396414|   WEAK   
          sts_serial|  13|    100000|     100|0.00259714|   WEAK   
          sts_serial|  13|    100000|     100|0.00822976|  PASSED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000261|   WEAK   
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
