#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           quantis-PCIE-16M2.bin|  7.54e+05  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00740639|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.79738475|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.88676531|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.78651185|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.82983303|  PASSED  
        diehard_opso|   0|   2097152|     100|0.39041674|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.06859443|  PASSED  
         diehard_dna|   0|   2097152|     100|0.33543851|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.69165068|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.61309286|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.95702998|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.40300030|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.05688662|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.12644183|  PASSED  
        diehard_sums|   0|       100|     100|0.14062088|  PASSED  
        diehard_runs|   0|    100000|     100|0.73280173|  PASSED  
        diehard_runs|   0|    100000|     100|0.97883940|  PASSED  
       diehard_craps|   0|    200000|     100|0.68398609|  PASSED  
       diehard_craps|   0|    200000|     100|0.67032424|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62190494|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19018456|  PASSED  
         sts_monobit|   1|    100000|     100|0.06912064|  PASSED  
            sts_runs|   2|    100000|     100|0.47835799|  PASSED  
          sts_serial|   1|    100000|     100|0.29881894|  PASSED  
          sts_serial|   2|    100000|     100|0.61017817|  PASSED  
          sts_serial|   3|    100000|     100|0.70602584|  PASSED  
          sts_serial|   3|    100000|     100|0.93706431|  PASSED  
          sts_serial|   4|    100000|     100|0.60925455|  PASSED  
          sts_serial|   4|    100000|     100|0.35871122|  PASSED  
          sts_serial|   5|    100000|     100|0.19548328|  PASSED  
          sts_serial|   5|    100000|     100|0.63861749|  PASSED  
          sts_serial|   6|    100000|     100|0.57721172|  PASSED  
          sts_serial|   6|    100000|     100|0.54999204|  PASSED  
          sts_serial|   7|    100000|     100|0.66257014|  PASSED  
          sts_serial|   7|    100000|     100|0.86010475|  PASSED  
          sts_serial|   8|    100000|     100|0.95427599|  PASSED  
          sts_serial|   8|    100000|     100|0.44359121|  PASSED  
          sts_serial|   9|    100000|     100|0.06461449|  PASSED  
          sts_serial|   9|    100000|     100|0.13080361|  PASSED  
          sts_serial|  10|    100000|     100|0.17033107|  PASSED  
          sts_serial|  10|    100000|     100|0.59773162|  PASSED  
          sts_serial|  11|    100000|     100|0.10138483|  PASSED  
          sts_serial|  11|    100000|     100|0.00933013|  PASSED  
          sts_serial|  12|    100000|     100|0.07892715|  PASSED  
          sts_serial|  12|    100000|     100|0.37781765|  PASSED  
          sts_serial|  13|    100000|     100|0.09950409|  PASSED  
          sts_serial|  13|    100000|     100|0.48937896|  PASSED  
          sts_serial|  14|    100000|     100|0.23921156|  PASSED  
          sts_serial|  14|    100000|     100|0.34291734|  PASSED  
          sts_serial|  15|    100000|     100|0.71656066|  PASSED  
          sts_serial|  15|    100000|     100|0.89285845|  PASSED  
          sts_serial|  16|    100000|     100|0.34460929|  PASSED  
          sts_serial|  16|    100000|     100|0.20129996|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.86352300|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.01590363|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.22215837|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.10347645|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.78300383|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.67944972|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.74866883|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.55263801|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.88779643|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.57653395|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.91911718|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.03448872|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.78041521|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.31639752|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.73625761|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.09090493|  PASSED  
    rgb_permutations|   2|    100000|     100|0.09931486|  PASSED  
    rgb_permutations|   3|    100000|     100|0.39725244|  PASSED  
    rgb_permutations|   4|    100000|     100|0.22515574|  PASSED  
    rgb_permutations|   5|    100000|     100|0.64350909|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.99449611|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.98907151|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.54914205|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.13040547|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.04805462|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.29274015|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.30526115|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.67407968|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.00667646|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.00259220|   WEAK   
      rgb_lagged_sum|  10|   1000000|     100|0.85033958|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.11339467|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.17731370|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.32997497|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.01498879|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.04541090|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.01507361|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.25846308|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.21672777|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.00093127|   WEAK   
      rgb_lagged_sum|  20|   1000000|     100|0.00000002|  FAILED  
      rgb_lagged_sum|  21|   1000000|     100|0.55613756|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.62834631|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.11694715|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.01033685|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.78633527|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.05031517|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.72151470|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.35162091|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.14808815|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.98039148|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00007356|   WEAK   
      rgb_lagged_sum|  32|   1000000|     100|0.05722209|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.21230789|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.46310435|  PASSED  
             dab_dct| 256|     50000|       1|0.10449175|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.04699029|  PASSED  
        dab_filltree|  32|  15000000|       1|0.82347719|  PASSED  
Preparing to run test 208.  ntuple = 0
