#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            quantis-PCIE-16M.bin|  4.84e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.17112368|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.15814501|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.71857523|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.73769278|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97917375|  PASSED  
        diehard_opso|   0|   2097152|     100|0.93255994|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.02961163|  PASSED  
         diehard_dna|   0|   2097152|     100|0.08092146|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.97386497|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.39921409|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33164281|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.40665377|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.73247970|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.91763904|  PASSED  
        diehard_sums|   0|       100|     100|0.55685608|  PASSED  
        diehard_runs|   0|    100000|     100|0.30070258|  PASSED  
        diehard_runs|   0|    100000|     100|0.31976716|  PASSED  
       diehard_craps|   0|    200000|     100|0.65462175|  PASSED  
       diehard_craps|   0|    200000|     100|0.98941112|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98182335|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00971496|  PASSED  
         sts_monobit|   1|    100000|     100|0.02277573|  PASSED  
            sts_runs|   2|    100000|     100|0.02123959|  PASSED  
          sts_serial|   1|    100000|     100|0.81721082|  PASSED  
          sts_serial|   2|    100000|     100|0.89980332|  PASSED  
          sts_serial|   3|    100000|     100|0.67835565|  PASSED  
          sts_serial|   3|    100000|     100|0.80862166|  PASSED  
          sts_serial|   4|    100000|     100|0.90057914|  PASSED  
          sts_serial|   4|    100000|     100|0.83185373|  PASSED  
          sts_serial|   5|    100000|     100|0.26770649|  PASSED  
          sts_serial|   5|    100000|     100|0.06891839|  PASSED  
          sts_serial|   6|    100000|     100|0.99343202|  PASSED  
          sts_serial|   6|    100000|     100|0.46858478|  PASSED  
          sts_serial|   7|    100000|     100|0.98214275|  PASSED  
          sts_serial|   7|    100000|     100|0.96909119|  PASSED  
          sts_serial|   8|    100000|     100|0.65301770|  PASSED  
          sts_serial|   8|    100000|     100|0.55503202|  PASSED  
          sts_serial|   9|    100000|     100|0.29894453|  PASSED  
          sts_serial|   9|    100000|     100|0.80361230|  PASSED  
          sts_serial|  10|    100000|     100|0.20972446|  PASSED  
          sts_serial|  10|    100000|     100|0.20793111|  PASSED  
          sts_serial|  11|    100000|     100|0.77953315|  PASSED  
          sts_serial|  11|    100000|     100|0.73708003|  PASSED  
          sts_serial|  12|    100000|     100|0.99625020|   WEAK   
          sts_serial|  12|    100000|     100|0.65262249|  PASSED  
          sts_serial|  13|    100000|     100|0.86613744|  PASSED  
