#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/media/darren/RNGdata/TRNGData/quantis-4M-pcie-32GB.bin|  4.48e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.68851288|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.90478544|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.33113885|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.15335684|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.33131602|  PASSED  
        diehard_opso|   0|   2097152|     100|0.34722752|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.97402759|  PASSED  
         diehard_dna|   0|   2097152|     100|0.40159005|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.80198892|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.61659893|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.81126942|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.43018953|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.28586806|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.35615704|  PASSED  
        diehard_sums|   0|       100|     100|0.04517290|  PASSED  
        diehard_runs|   0|    100000|     100|0.56413426|  PASSED  
        diehard_runs|   0|    100000|     100|0.99074987|  PASSED  
       diehard_craps|   0|    200000|     100|0.34039200|  PASSED  
       diehard_craps|   0|    200000|     100|0.03758119|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.33702370|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20608343|  PASSED  
         sts_monobit|   1|    100000|     100|0.20426745|  PASSED  
            sts_runs|   2|    100000|     100|0.47769994|  PASSED  
          sts_serial|   1|    100000|     100|0.94733928|  PASSED  
          sts_serial|   2|    100000|     100|0.94301817|  PASSED  
          sts_serial|   3|    100000|     100|0.32188285|  PASSED  
          sts_serial|   3|    100000|     100|0.23881476|  PASSED  
          sts_serial|   4|    100000|     100|0.50798615|  PASSED  
          sts_serial|   4|    100000|     100|0.73139227|  PASSED  
          sts_serial|   5|    100000|     100|0.25944545|  PASSED  
          sts_serial|   5|    100000|     100|0.41845760|  PASSED  
          sts_serial|   6|    100000|     100|0.71392794|  PASSED  
          sts_serial|   6|    100000|     100|0.49515148|  PASSED  
          sts_serial|   7|    100000|     100|0.71799849|  PASSED  
          sts_serial|   7|    100000|     100|0.98951052|  PASSED  
          sts_serial|   8|    100000|     100|0.91747877|  PASSED  
          sts_serial|   8|    100000|     100|0.70106610|  PASSED  
          sts_serial|   9|    100000|     100|0.95277999|  PASSED  
          sts_serial|   9|    100000|     100|0.88249679|  PASSED  
          sts_serial|  10|    100000|     100|0.92734151|  PASSED  
          sts_serial|  10|    100000|     100|0.19775442|  PASSED  
          sts_serial|  11|    100000|     100|0.61149056|  PASSED  
          sts_serial|  11|    100000|     100|0.71470668|  PASSED  
          sts_serial|  12|    100000|     100|0.51239056|  PASSED  
          sts_serial|  12|    100000|     100|0.64946582|  PASSED  
          sts_serial|  13|    100000|     100|0.74006269|  PASSED  
          sts_serial|  13|    100000|     100|0.79783706|  PASSED  
          sts_serial|  14|    100000|     100|0.42901880|  PASSED  
          sts_serial|  14|    100000|     100|0.89569732|  PASSED  
          sts_serial|  15|    100000|     100|0.88496512|  PASSED  
          sts_serial|  15|    100000|     100|0.83545717|  PASSED  
          sts_serial|  16|    100000|     100|0.88541680|  PASSED  
          sts_serial|  16|    100000|     100|0.83762929|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.09299540|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.29172065|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.50083696|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.12086321|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.76119126|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.91962241|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.97711784|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.91319275|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.00541996|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.63604932|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.03082724|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.78658686|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.41547390|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.82550397|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.99788188|   WEAK   
rgb_minimum_distance|   5|     10000|    1000|0.63097313|  PASSED  
    rgb_permutations|   2|    100000|     100|0.25596859|  PASSED  
    rgb_permutations|   3|    100000|     100|0.93844475|  PASSED  
    rgb_permutations|   4|    100000|     100|0.93955385|  PASSED  
    rgb_permutations|   5|    100000|     100|0.72711623|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.19214015|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.70578729|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.93208082|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.03443082|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.03385727|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.20000726|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.08336577|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.09464886|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.00472518|   WEAK   
      rgb_lagged_sum|   9|   1000000|     100|0.99646221|   WEAK   
      rgb_lagged_sum|  10|   1000000|     100|0.92149701|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.16082145|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.47293449|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.96076189|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.19119561|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.20640422|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.29561830|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.77205384|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.45819738|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.20212388|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.12200562|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.24054974|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.82526979|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.69138846|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.22315039|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.02227129|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.09522707|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.07827023|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.26547577|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.44266156|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.72214748|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.10005475|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.28707568|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.71839897|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.10256764|  PASSED  
             dab_dct| 256|     50000|       1|0.15724534|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.06820083|  PASSED  
        dab_filltree|  32|  15000000|       1|0.12506270|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.99263199|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.51138232|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.70920046|  PASSED  
