#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             quantis-4M3-win.bin|  1.84e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96608149|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.72805419|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.49849775|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.66748960|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.44041576|  PASSED  
        diehard_opso|   0|   2097152|     100|0.35803216|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99483835|  PASSED  
         diehard_dna|   0|   2097152|     100|0.33304946|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.94704258|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.32226096|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.47166550|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.82859476|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.91559470|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.92124404|  PASSED  
        diehard_sums|   0|       100|     100|0.00895600|  PASSED  
        diehard_runs|   0|    100000|     100|0.97171859|  PASSED  
        diehard_runs|   0|    100000|     100|0.16648810|  PASSED  
       diehard_craps|   0|    200000|     100|0.65244520|  PASSED  
       diehard_craps|   0|    200000|     100|0.35270978|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62111262|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.69065248|  PASSED  
         sts_monobit|   1|    100000|     100|0.00019621|   WEAK   
            sts_runs|   2|    100000|     100|0.17820432|  PASSED  
          sts_serial|   1|    100000|     100|0.58492610|  PASSED  
          sts_serial|   2|    100000|     100|0.87158919|  PASSED  
          sts_serial|   3|    100000|     100|0.88693648|  PASSED  
          sts_serial|   3|    100000|     100|0.57097882|  PASSED  
          sts_serial|   4|    100000|     100|0.41794383|  PASSED  
          sts_serial|   4|    100000|     100|0.96623769|  PASSED  
          sts_serial|   5|    100000|     100|0.98956937|  PASSED  
          sts_serial|   5|    100000|     100|0.71168186|  PASSED  
          sts_serial|   6|    100000|     100|0.87004458|  PASSED  
          sts_serial|   6|    100000|     100|0.90355286|  PASSED  
          sts_serial|   7|    100000|     100|0.22044620|  PASSED  
          sts_serial|   7|    100000|     100|0.53357953|  PASSED  
          sts_serial|   8|    100000|     100|0.89525992|  PASSED  
          sts_serial|   8|    100000|     100|0.29842753|  PASSED  
          sts_serial|   9|    100000|     100|0.70079044|  PASSED  
          sts_serial|   9|    100000|     100|0.87967188|  PASSED  
          sts_serial|  10|    100000|     100|0.56558075|  PASSED  
          sts_serial|  10|    100000|     100|0.61582793|  PASSED  
          sts_serial|  11|    100000|     100|0.87634127|  PASSED  
          sts_serial|  11|    100000|     100|0.42907938|  PASSED  
          sts_serial|  12|    100000|     100|0.93726733|  PASSED  
          sts_serial|  12|    100000|     100|0.96022636|  PASSED  
          sts_serial|  13|    100000|     100|0.88123848|  PASSED  
          sts_serial|  13|    100000|     100|0.36469595|  PASSED  
          sts_serial|  14|    100000|     100|0.77877889|  PASSED  
          sts_serial|  14|    100000|     100|0.84982297|  PASSED  
          sts_serial|  15|    100000|     100|0.97856489|  PASSED  
          sts_serial|  15|    100000|     100|0.30017967|  PASSED  
          sts_serial|  16|    100000|     100|0.26941359|  PASSED  
          sts_serial|  16|    100000|     100|0.98290151|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.96422171|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.45795912|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.28095523|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.05228278|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.04175754|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.79962330|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.44967908|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.06404930|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.07862915|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.64899800|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.69909824|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.85065502|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.17503557|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.24378705|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.76927184|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.37042897|  PASSED  
    rgb_permutations|   2|    100000|     100|0.98602478|  PASSED  
    rgb_permutations|   3|    100000|     100|0.15612384|  PASSED  
    rgb_permutations|   4|    100000|     100|0.40584163|  PASSED  
    rgb_permutations|   5|    100000|     100|0.57093677|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.13436559|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.80507057|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.01321890|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.45130777|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.80985597|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.04922538|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.24473795|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.84872819|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.52549668|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.13636669|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.02601448|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.04894428|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.00268335|   WEAK   
      rgb_lagged_sum|  13|   1000000|     100|0.15670265|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.15056900|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.15588030|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.15804782|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.01378020|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.43847252|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.13378380|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.01424447|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.00228860|   WEAK   
      rgb_lagged_sum|  22|   1000000|     100|0.07726393|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.51155778|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.05005524|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.01127431|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.68159995|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.00022120|   WEAK   
