#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/media/darren/RNGdata/TRNGData/quantis-PCIE-4M3.bin|  8.60e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.28540119|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.17233227|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.45928880|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.46655965|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.14455460|  PASSED  
        diehard_opso|   0|   2097152|     100|0.44868824|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57392590|  PASSED  
         diehard_dna|   0|   2097152|     100|0.61044268|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.38708696|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.20381052|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.98063070|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.98465665|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.85015597|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.88328212|  PASSED  
        diehard_sums|   0|       100|     100|0.07468855|  PASSED  
        diehard_runs|   0|    100000|     100|0.00614755|  PASSED  
        diehard_runs|   0|    100000|     100|0.16980612|  PASSED  
       diehard_craps|   0|    200000|     100|0.89123459|  PASSED  
       diehard_craps|   0|    200000|     100|0.39712484|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.36957653|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20713354|  PASSED  
         sts_monobit|   1|    100000|     100|0.96164295|  PASSED  
            sts_runs|   2|    100000|     100|0.52029639|  PASSED  
          sts_serial|   1|    100000|     100|0.69476182|  PASSED  
          sts_serial|   2|    100000|     100|0.79304306|  PASSED  
          sts_serial|   3|    100000|     100|0.99959515|   WEAK   
