#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             quantis-usb-win.bin|  1.53e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93206851|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.93339904|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97641840|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.48205013|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.59257310|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99992194|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.57389424|  PASSED  
         diehard_dna|   0|   2097152|     100|0.10652221|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.56317867|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.39684533|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.17333962|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.57881879|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.75028326|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.32401029|  PASSED  
        diehard_sums|   0|       100|     100|0.06727837|  PASSED  
        diehard_runs|   0|    100000|     100|0.14894775|  PASSED  
        diehard_runs|   0|    100000|     100|0.43982993|  PASSED  
       diehard_craps|   0|    200000|     100|0.57388668|  PASSED  
       diehard_craps|   0|    200000|     100|0.73570789|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00493758|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78059441|  PASSED  
         sts_monobit|   1|    100000|     100|0.57856618|  PASSED  
            sts_runs|   2|    100000|     100|0.01516314|  PASSED  
          sts_serial|   1|    100000|     100|0.89788151|  PASSED  
          sts_serial|   2|    100000|     100|0.83801487|  PASSED  
          sts_serial|   3|    100000|     100|0.90925647|  PASSED  
          sts_serial|   3|    100000|     100|0.07588837|  PASSED  
          sts_serial|   4|    100000|     100|0.15590443|  PASSED  
          sts_serial|   4|    100000|     100|0.89730823|  PASSED  
          sts_serial|   5|    100000|     100|0.13848166|  PASSED  
          sts_serial|   5|    100000|     100|0.48565202|  PASSED  
          sts_serial|   6|    100000|     100|0.17835169|  PASSED  
          sts_serial|   6|    100000|     100|0.64377397|  PASSED  
          sts_serial|   7|    100000|     100|0.21583295|  PASSED  
          sts_serial|   7|    100000|     100|0.97388332|  PASSED  
          sts_serial|   8|    100000|     100|0.40700570|  PASSED  
          sts_serial|   8|    100000|     100|0.99801904|   WEAK   
          sts_serial|   9|    100000|     100|0.94800219|  PASSED  
          sts_serial|   9|    100000|     100|0.95582617|  PASSED  
          sts_serial|  10|    100000|     100|0.08546008|  PASSED  
          sts_serial|  10|    100000|     100|0.18749263|  PASSED  
          sts_serial|  11|    100000|     100|0.41961057|  PASSED  
          sts_serial|  11|    100000|     100|0.99997613|   WEAK   
          sts_serial|  12|    100000|     100|0.95199941|  PASSED  
          sts_serial|  12|    100000|     100|0.95195174|  PASSED  
          sts_serial|  13|    100000|     100|0.62140815|  PASSED  
          sts_serial|  13|    100000|     100|0.94745481|  PASSED  
          sts_serial|  14|    100000|     100|0.59472807|  PASSED  
          sts_serial|  14|    100000|     100|0.15699677|  PASSED  
          sts_serial|  15|    100000|     100|0.77048847|  PASSED  
          sts_serial|  15|    100000|     100|0.82726740|  PASSED  
          sts_serial|  16|    100000|     100|0.53344205|  PASSED  
          sts_serial|  16|    100000|     100|0.85304464|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.76295391|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.47329660|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.28125104|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.07587126|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.65515929|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.73979377|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.63281650|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.87272755|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.74670110|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.83753583|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.74552965|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.87935762|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.17192307|  PASSED  
