#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|          quantis-usb100-win.bin|  1.98e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.38726196|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.77802086|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.22699459|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.86214096|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.72615191|  PASSED  
        diehard_opso|   0|   2097152|     100|0.68016287|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.81902015|  PASSED  
         diehard_dna|   0|   2097152|     100|0.05359649|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.47877918|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.21343946|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.76094232|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64985363|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.32037728|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.99474120|  PASSED  
        diehard_sums|   0|       100|     100|0.32734622|  PASSED  
        diehard_runs|   0|    100000|     100|0.31636062|  PASSED  
        diehard_runs|   0|    100000|     100|0.25366744|  PASSED  
       diehard_craps|   0|    200000|     100|0.04901636|  PASSED  
       diehard_craps|   0|    200000|     100|0.61699802|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.39764765|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51484391|  PASSED  
         sts_monobit|   1|    100000|     100|0.77136022|  PASSED  
            sts_runs|   2|    100000|     100|0.90326794|  PASSED  
          sts_serial|   1|    100000|     100|0.38425652|  PASSED  
          sts_serial|   2|    100000|     100|0.55496359|  PASSED  
          sts_serial|   3|    100000|     100|0.79893372|  PASSED  
          sts_serial|   3|    100000|     100|0.55468218|  PASSED  
          sts_serial|   4|    100000|     100|0.88893102|  PASSED  
          sts_serial|   4|    100000|     100|0.83706585|  PASSED  
          sts_serial|   5|    100000|     100|0.35837106|  PASSED  
          sts_serial|   5|    100000|     100|0.77872344|  PASSED  
          sts_serial|   6|    100000|     100|0.31233809|  PASSED  
          sts_serial|   6|    100000|     100|0.69793048|  PASSED  
          sts_serial|   7|    100000|     100|0.97898265|  PASSED  
          sts_serial|   7|    100000|     100|0.49415663|  PASSED  
          sts_serial|   8|    100000|     100|0.82734975|  PASSED  
          sts_serial|   8|    100000|     100|0.30834054|  PASSED  
          sts_serial|   9|    100000|     100|0.25649436|  PASSED  
          sts_serial|   9|    100000|     100|0.03703548|  PASSED  
          sts_serial|  10|    100000|     100|0.04269788|  PASSED  
          sts_serial|  10|    100000|     100|0.17924102|  PASSED  
          sts_serial|  11|    100000|     100|0.13268801|  PASSED  
          sts_serial|  11|    100000|     100|0.24575098|  PASSED  
          sts_serial|  12|    100000|     100|0.03481773|  PASSED  
          sts_serial|  12|    100000|     100|0.56260143|  PASSED  
          sts_serial|  13|    100000|     100|0.26871317|  PASSED  
          sts_serial|  13|    100000|     100|0.79641033|  PASSED  
          sts_serial|  14|    100000|     100|0.25350134|  PASSED  
          sts_serial|  14|    100000|     100|0.89723004|  PASSED  
          sts_serial|  15|    100000|     100|0.13113703|  PASSED  
          sts_serial|  15|    100000|     100|0.17994335|  PASSED  
          sts_serial|  16|    100000|     100|0.75695014|  PASSED  
          sts_serial|  16|    100000|     100|0.54594742|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.87491562|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.93835901|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.92597381|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.76433693|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.53323007|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.20626715|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.93113085|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.98231033|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.87525701|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.34696129|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.55402945|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.85734665|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.36447496|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.12352253|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.73953841|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.68212795|  PASSED  
    rgb_permutations|   2|    100000|     100|0.64436984|  PASSED  
    rgb_permutations|   3|    100000|     100|0.79873851|  PASSED  
    rgb_permutations|   4|    100000|     100|0.47093880|  PASSED  
    rgb_permutations|   5|    100000|     100|0.68093636|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.18167068|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.66246713|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.09685792|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.11117738|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.10686122|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.88586655|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.47467646|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.14900942|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.43531239|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.16092787|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.47865963|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.05208532|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.01525067|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.08522257|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.00342475|   WEAK   
      rgb_lagged_sum|  15|   1000000|     100|0.10494366|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.06654523|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.55619647|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.20557800|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.58152905|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.00716528|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.17069665|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.26657406|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00031052|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.12314752|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.40105078|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.45144954|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.03753125|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.82391461|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.01863745|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.20995788|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.24404739|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.08866954|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.28290539|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.78322564|  PASSED  
             dab_dct| 256|     50000|       1|0.44154389|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.73782614|  PASSED  
        dab_filltree|  32|  15000000|       1|0.84284037|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.76974586|  PASSED  
