0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,249.467508,127.497896,3.141540,-0.000016
2,Value,Occurrences,Fraction
3,0,8202591,0.003906
3,1,8207775,0.003908
3,2,8203327,0.003906
3,3,8201389,0.003905
3,4,8200383,0.003905
3,5,8203853,0.003907
3,6,8203444,0.003906
3,7,8204537,0.003907
3,8,8201766,0.003906
3,9,8201290,0.003905
3,10,8209109,0.003909
3,11,8209304,0.003909
3,12,8201721,0.003906
3,13,8204777,0.003907
3,14,8205029,0.003907
3,15,8207788,0.003908
3,16,8203056,0.003906
3,17,8205113,0.003907
3,18,8203541,0.003906
3,19,8203188,0.003906
3,20,8206823,0.003908
3,21,8201318,0.003905
3,22,8206660,0.003908
3,23,8210551,0.003910
3,24,8203200,0.003906
3,25,8206286,0.003908
3,26,8204321,0.003907
3,27,8197565,0.003904
3,28,8207106,0.003908
3,29,8206113,0.003908
3,30,8208476,0.003909
3,31,8197719,0.003904
3,32,8206731,0.003908
3,33,8199308,0.003904
3,34,8206321,0.003908
3,35,8201698,0.003906
3,36,8204032,0.003907
3,37,8200340,0.003905
3,38,8199788,0.003905
3,39,8203278,0.003906
3,40,8202475,0.003906
3,41,8203716,0.003907
3,42,8200334,0.003905
3,43,8202648,0.003906
3,44,8197977,0.003904
3,45,8206282,0.003908
3,46,8197899,0.003904
3,47,8206129,0.003908
3,48,8201855,0.003906
3,49,8201665,0.003906
3,50,8198174,0.003904
3,51,8200088,0.003905
3,52,8206043,0.003908
3,53,8203924,0.003907
3,54,8202127,0.003906
3,55,8201045,0.003905
3,56,8200671,0.003905
3,57,8207466,0.003908
3,58,8200499,0.003905
3,59,8203683,0.003907
3,60,8200540,0.003905
3,61,8202442,0.003906
3,62,8205426,0.003907
3,63,8201847,0.003906
3,64,8202160,0.003906
3,65,8207800,0.003908
3,66,8200994,0.003905
3,67,8202276,0.003906
3,68,8200848,0.003905
3,69,8204061,0.003907
3,70,8205674,0.003907
3,71,8199259,0.003904
3,72,8197809,0.003904
3,73,8201649,0.003906
3,74,8205852,0.003908
3,75,8203005,0.003906
3,76,8202175,0.003906
3,77,8204145,0.003907
3,78,8207196,0.003908
3,79,8199492,0.003905
3,80,8203822,0.003907
3,81,8197825,0.003904
3,82,8202018,0.003906
3,83,8206245,0.003908
3,84,8210553,0.003910
3,85,8204572,0.003907
3,86,8202621,0.003906
3,87,8203286,0.003906
3,88,8203810,0.003907
3,89,8203924,0.003907
3,90,8205535,0.003907
3,91,8202450,0.003906
3,92,8199898,0.003905
3,93,8201571,0.003906
3,94,8207776,0.003908
3,95,8200972,0.003905
3,96,8203773,0.003907
3,97,8203485,0.003906
3,98,8203390,0.003906
3,99,8202639,0.003906
3,100,8197174,0.003903
3,101,8203103,0.003906
3,102,8204163,0.003907
3,103,8206278,0.003908
3,104,8204580,0.003907
3,105,8205003,0.003907
3,106,8210662,0.003910
3,107,8206743,0.003908
3,108,8201920,0.003906
3,109,8201655,0.003906
3,110,8203876,0.003907
3,111,8203466,0.003906
3,112,8205710,0.003907
3,113,8193559,0.003902
3,114,8207712,0.003908
3,115,8208624,0.003909
3,116,8202950,0.003906
3,117,8201665,0.003906
3,118,8203371,0.003906
3,119,8204502,0.003907
3,120,8201116,0.003905
3,121,8199614,0.003905
3,122,8207779,0.003908
3,123,8201137,0.003905
3,124,8198737,0.003904
3,125,8206751,0.003908
3,126,8199970,0.003905
3,127,8207920,0.003909
3,128,8201277,0.003905
3,129,8203026,0.003906
3,130,8201025,0.003905
3,131,8207229,0.003908
3,132,8202091,0.003906
3,133,8202630,0.003906
3,134,8207960,0.003909
3,135,8197773,0.003904
3,136,8199886,0.003905
