0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,2100000000,8,302.599707,127.491013,3.141801,8.519292733E-06,0.390403038
2,Value,Occurrences,Fraction,,,,
3,0,8214116,0.003911,,,,
3,1,8206928,0.003908,,,,
3,2,8207302,0.003908,,,,
3,3,8199941,0.003905,,,,
3,4,8206889,0.003908,,,,
3,5,8206249,0.003908,,,,
3,6,8204743,0.003907,,,,
3,7,8201770,0.003906,,,,
3,8,8212104,0.003911,,,,
3,9,8210903,0.00391,,,,
3,10,8202284,0.003906,,,,
3,11,8204581,0.003907,,,,
3,12,8203268,0.003906,,,,
3,13,8206095,0.003908,,,,
3,14,8201667,0.003906,,,,
3,15,8208952,0.003909,,,,
3,16,8207863,0.003909,,,,
3,17,8209282,0.003909,,,,
3,18,8203838,0.003907,,,,
3,19,8202803,0.003906,,,,
3,20,8207780,0.003908,,,,
3,21,8205742,0.003907,,,,
3,22,8204670,0.003907,,,,
3,23,8203844,0.003907,,,,
3,24,8202904,0.003906,,,,
3,25,8203216,0.003906,,,,
3,26,8202299,0.003906,,,,
3,27,8204137,0.003907,,,,
3,28,8199968,0.003905,,,,
3,29,8205930,0.003908,,,,
3,30,8205092,0.003907,,,,
3,31,8197362,0.003904,,,,
3,32,8203941,0.003907,,,,
3,33,8210551,0.00391,,,,
3,34,8206246,0.003908,,,,
3,35,8200938,0.003905,,,,
3,36,8206248,0.003908,,,,
3,37,8201872,0.003906,,,,
3,38,8204787,0.003907,,,,
3,39,8204299,0.003907,,,,
3,40,8200593,0.003905,,,,
3,41,8203993,0.003907,,,,
3,42,8203066,0.003906,,,,
3,43,8203189,0.003906,,,,
3,44,8205158,0.003907,,,,
3,45,8203027,0.003906,,,,
3,46,8199633,0.003905,,,,
3,47,8203023,0.003906,,,,
3,48,8205596,0.003907,,,,
3,49,8205827,0.003908,,,,
3,50,8202398,0.003906,,,,
3,51,8200010,0.003905,,,,
3,52,8204110,0.003907,,,,
3,53,8203674,0.003907,,,,
3,54,8206429,0.003908,,,,
3,55,8203346,0.003906,,,,
3,56,8203299,0.003906,,,,
3,57,8201677,0.003906,,,,
3,58,8199859,0.003905,,,,
3,59,8200921,0.003905,,,,
3,60,8203495,0.003906,,,,
3,61,8199597,0.003905,,,,
3,62,8203856,0.003907,,,,
3,63,8202278,0.003906,,,,
3,64,8206072,0.003908,,,,
3,65,8212206,0.003911,,,,
3,66,8205157,0.003907,,,,
3,67,8205051,0.003907,,,,
3,68,8202466,0.003906,,,,
3,69,8205483,0.003907,,,,
3,70,8209209,0.003909,,,,
3,71,8204783,0.003907,,,,
3,72,8204471,0.003907,,,,
3,73,8208819,0.003909,,,,
3,74,8207900,0.003909,,,,
3,75,8201191,0.003905,,,,
3,76,8202690,0.003906,,,,
3,77,8202548,0.003906,,,,
3,78,8207474,0.003908,,,,
3,79,8207057,0.003908,,,,
3,80,8205515,0.003907,,,,
3,81,8203898,0.003907,,,,
3,82,8203895,0.003907,,,,
3,83,8205796,0.003908,,,,
3,84,8202057,0.003906,,,,
3,85,8202628,0.003906,,,,
3,86,8201051,0.003905,,,,
3,87,8201715,0.003906,,,,
3,88,8200237,0.003905,,,,
3,89,8204900,0.003907,,,,
3,90,8201479,0.003905,,,,
3,91,8204354,0.003907,,,,
3,92,8201536,0.003905,,,,
3,93,8198440,0.003904,,,,
3,94,8202749,0.003906,,,,
3,95,8200224,0.003905,,,,
3,96,8209338,0.003909,,,,
3,97,8200029,0.003905,,,,
3,98,8203368,0.003906,,,,
3,99,8199735,0.003905,,,,
3,100,8204049,0.003907,,,,
3,101,8204629,0.003907,,,,
3,102,8202249,0.003906,,,,
3,103,8200089,0.003905,,,,
3,104,8205133,0.003907,,,,
3,105,8199934,0.003905,,,,
3,106,8198630,0.003904,,,,
3,107,8198409,0.003904,,,,
3,108,8202868,0.003906,,,,
3,109,8198140,0.003904,,,,
3,110,8207577,0.003908,,,,
3,111,8202014,0.003906,,,,
3,112,8200161,0.003905,,,,
3,113,8200858,0.003905,,,,
3,114,8199288,0.003904,,,,
3,115,8201517,0.003905,,,,
3,116,8207386,0.003908,,,,
3,117,8203938,0.003907,,,,
3,118,8201388,0.003905,,,,
3,119,8198544,0.003904,,,,
3,120,8200514,0.003905,,,,
3,121,8202982,0.003906,,,,
3,122,8201762,0.003906,,,,
3,123,8199537,0.003905,,,,
3,124,8198967,0.003904,,,,
3,125,8200041,0.003905,,,,
3,126,8204812,0.003907,,,,
