0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,334.459140,127.490181,3.141803,-0.000005464993061
2,Value,Occurrences,Fraction
3,0,8209632,0.003909
3,1,8208189,0.003909
3,2,8208622,0.003909
3,3,8210182,0.003910
3,4,8208632,0.003909
3,5,8198585,0.003904
3,6,8205658,0.003907
3,7,8204754,0.003907
3,8,8208800,0.003909
3,9,8206552,0.003908
3,10,8206945,0.003908
3,11,8209755,0.003909
3,12,8205104,0.003907
3,13,8203359,0.003906
3,14,8205914,0.003908
3,15,8202876,0.003906
3,16,8204548,0.003907
3,17,8203329,0.003906
3,18,8200020,0.003905
3,19,8207655,0.003908
3,20,8205235,0.003907
3,21,8208410,0.003909
3,22,8198813,0.003904
3,23,8204093,0.003907
3,24,8202614,0.003906
3,25,8204632,0.003907
3,26,8200188,0.003905
3,27,8209373,0.003909
3,28,8197027,0.003903
3,29,8204109,0.003907
3,30,8201944,0.003906
3,31,8204582,0.003907
3,32,8207303,0.003908
3,33,8212438,0.003911
3,34,8203395,0.003906
3,35,8201800,0.003906
3,36,8207642,0.003908
3,37,8207798,0.003908
3,38,8203293,0.003906
3,39,8205249,0.003907
3,40,8202235,0.003906
3,41,8203862,0.003907
3,42,8202275,0.003906
3,43,8203540,0.003906
3,44,8208233,0.003909
3,45,8204556,0.003907
3,46,8208445,0.003909
3,47,8205763,0.003908
3,48,8201577,0.003906
3,49,8207342,0.003908
3,50,8201596,0.003906
3,51,8203583,0.003906
3,52,8202827,0.003906
3,53,8201298,0.003905
3,54,8203102,0.003906
3,55,8199660,0.003905
3,56,8203324,0.003906
3,57,8199820,0.003905
3,58,8200655,0.003905
3,59,8201033,0.003905
3,60,8201828,0.003906
3,61,8196032,0.003903
3,62,8198369,0.003904
3,63,8201406,0.003905
3,64,8208585,0.003909
3,65,8202047,0.003906
3,66,8206624,0.003908
3,67,8203178,0.003906
3,68,8210665,0.003910
3,69,8206051,0.003908
3,70,8204335,0.003907
3,71,8204363,0.003907
3,72,8202609,0.003906
3,73,8205494,0.003907
3,74,8205979,0.003908
3,75,8206265,0.003908
3,76,8207413,0.003908
3,77,8200675,0.003905
3,78,8204682,0.003907
3,79,8204442,0.003907
3,80,8206643,0.003908
3,81,8205874,0.003908
3,82,8206416,0.003908
3,83,8204462,0.003907
3,84,8204048,0.003907
3,85,8206285,0.003908
3,86,8201344,0.003905
3,87,8205795,0.003908
3,88,8206949,0.003908
3,89,8208120,0.003909
3,90,8201978,0.003906
3,91,8205160,0.003907
3,92,8208159,0.003909
3,93,8202542,0.003906
3,94,8200175,0.003905
3,95,8207448,0.003908
3,96,8208631,0.003909
3,97,8202656,0.003906
3,98,8204959,0.003907
3,99,8200909,0.003905
3,100,8201184,0.003905
3,101,8200551,0.003905
3,102,8206587,0.003908
3,103,8198291,0.003904
3,104,8203455,0.003906
3,105,8202601,0.003906
3,106,8202160,0.003906
3,107,8198244,0.003904
3,108,8204290,0.003907
3,109,8204496,0.003907
3,110,8205919,0.003908
3,111,8201442,0.003905
3,112,8201837,0.003906
3,113,8198704,0.003904
3,114,8202818,0.003906
3,115,8199530,0.003905
3,116,8201729,0.003906
3,117,8202408,0.003906
3,118,8198700,0.003904
3,119,8199679,0.003905
3,120,8201222,0.003905
3,121,8195947,0.003903
3,122,8198986,0.003904
3,123,8200853,0.003905
3,124,8199929,0.003905
3,125,8197944,0.003904
3,126,8199714,0.003905
3,127,8201666,0.003906
3,128,8208681,0.003909
3,129,8204588,0.003907
3,130,8202967,0.003906
3,131,8207447,0.003908
3,132,8200241,0.003905
3,133,8204451,0.003907
3,134,8199016,0.003904
3,135,8204697,0.003907
3,136,8207925,0.003909
3,137,8208064,0.003909
3,138,8201134,0.003905
3,139,8203373,0.003906
3,140,8201038,0.003905
3,141,8198716,0.003904
3,142,8207803,0.003908
3,143,8198559,0.003904
3,144,8209973,0.003910
3,145,8203736,0.003907
3,146,8208746,0.003909
3,147,8205499,0.003907
3,148,8202733,0.003906
3,149,8201408,0.003905
3,150,8198996,0.003904
3,151,8203971,0.003907
3,152,8202707,0.003906
3,153,8200843,0.003905
3,154,8201052,0.003905
3,155,8202965,0.003906
3,156,8205243,0.003907
3,157,8201961,0.003906
3,158,8202039,0.003906
3,159,8201814,0.003906
3,160,8207101,0.003908
3,161,8205354,0.003907
3,162,8204929,0.003907
3,163,8202389,0.003906
3,164,8206524,0.003908
3,165,8203673,0.003907
3,166,8197935,0.003904
3,167,8202232,0.003906
3,168,8203166,0.003906
3,169,8199707,0.003905
3,170,8204457,0.003907
3,171,8201119,0.003905
3,172,8206315,0.003908
3,173,8198724,0.003904
3,174,8195514,0.003903
3,175,8204094,0.003907
3,176,8201881,0.003906
3,177,8201561,0.003906
3,178,8200330,0.003905
3,179,8202684,0.003906
3,180,8208205,0.003909
3,181,8199195,0.003904
3,182,8202354,0.003906
3,183,8202516,0.003906
3,184,8201526,0.003905
3,185,8198862,0.003904
3,186,8203790,0.003907
3,187,8202162,0.003906
3,188,8197344,0.003903
3,189,8200918,0.003905
3,190,8205347,0.003907
3,191,8199026,0.003904
3,192,8208015,0.003909
3,193,8200072,0.003905
3,194,8207619,0.003908
3,195,8202318,0.003906
3,196,8203694,0.003907
3,197,8207093,0.003908
3,198,8201676,0.003906
3,199,8199819,0.003905
3,200,8199201,0.003904
3,201,8205101,0.003907
3,202,8202828,0.003906
3,203,8201584,0.003906
3,204,8203282,0.003906
3,205,8198104,0.003904
3,206,8202194,0.003906
3,207,8199301,0.003904
3,208,8200812,0.003905
3,209,8207095,0.003908
3,210,8198558,0.003904
3,211,8201108,0.003905
3,212,8197051,0.003903
3,213,8206023,0.003908
3,214,8207447,0.003908
3,215,8199258,0.003904
3,216,8202769,0.003906
3,217,8200492,0.003905
3,218,8202434,0.003906
3,219,8207394,0.003908
3,220,8204634,0.003907
3,221,8204412,0.003907
3,222,8199528,0.003905
3,223,8203315,0.003906
3,224,8205750,0.003908
3,225,8203440,0.003906
3,226,8200212,0.003905
3,227,8203646,0.003906
3,228,8205901,0.003908
3,229,8200866,0.003905
3,230,8200452,0.003905
3,231,8200936,0.003905
3,232,8204574,0.003907
3,233,8200130,0.003905
3,234,8201422,0.003905
3,235,8201312,0.003905
3,236,8201419,0.003905
3,237,8199573,0.003905
3,238,8202024,0.003906
3,239,8200667,0.003905
3,240,8205954,0.003908
3,241,8196111,0.003903
3,242,8200970,0.003905
3,243,8204309,0.003907
3,244,8199295,0.003904
3,245,8202722,0.003906
3,246,8201289,0.003905
3,247,8198515,0.003904
3,248,8197385,0.003904
3,249,8199148,0.003904
3,250,8204289,0.003907
3,251,8196143,0.003903
3,252,8198463,0.003904
3,253,8202402,0.003906
3,254,8205745,0.003907
3,255,8203129,0.003906
