0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1575000000,8.000000,228.017153,127.504208,3.141665,0.000054277427514
2,Value,Occurrences,Fraction
3,0,6152727,0.003906
3,1,6151748,0.003906
3,2,6153021,0.003907
3,3,6149909,0.003905
3,4,6153605,0.003907
3,5,6151255,0.003906
3,6,6152490,0.003906
3,7,6149236,0.003904
3,8,6151306,0.003906
3,9,6151318,0.003906
3,10,6153604,0.003907
3,11,6148022,0.003904
3,12,6151217,0.003906
3,13,6153599,0.003907
3,14,6149181,0.003904
3,15,6154007,0.003907
3,16,6149666,0.003905
3,17,6151312,0.003906
3,18,6157026,0.003909
3,19,6148756,0.003904
3,20,6151734,0.003906
3,21,6152691,0.003906
3,22,6151265,0.003906
3,23,6151532,0.003906
3,24,6152035,0.003906
3,25,6148211,0.003904
3,26,6154009,0.003907
3,27,6152018,0.003906
3,28,6151801,0.003906
3,29,6155670,0.003908
3,30,6153086,0.003907
3,31,6150513,0.003905
3,32,6150011,0.003905
3,33,6153850,0.003907
3,34,6153748,0.003907
3,35,6155872,0.003908
3,36,6150531,0.003905
3,37,6152501,0.003906
3,38,6155352,0.003908
3,39,6155709,0.003908
3,40,6153980,0.003907
3,41,6150742,0.003905
3,42,6151663,0.003906
3,43,6150992,0.003905
3,44,6150236,0.003905
3,45,6154340,0.003908
3,46,6150203,0.003905
3,47,6155285,0.003908
3,48,6149695,0.003905
3,49,6154913,0.003908
3,50,6152065,0.003906
3,51,6150840,0.003905
3,52,6152045,0.003906
3,53,6152860,0.003907
3,54,6151291,0.003906
3,55,6149607,0.003905
3,56,6155189,0.003908
3,57,6148481,0.003904
3,58,6154613,0.003908
3,59,6150014,0.003905
3,60,6148898,0.003904
3,61,6154160,0.003907
3,62,6148228,0.003904
3,63,6152944,0.003907
3,64,6149134,0.003904
3,65,6153327,0.003907
3,66,6150161,0.003905
3,67,6152771,0.003907
3,68,6153264,0.003907
3,69,6150175,0.003905
3,70,6154057,0.003907
3,71,6152705,0.003906
3,72,6151360,0.003906
3,73,6149689,0.003905
3,74,6151705,0.003906
3,75,6151033,0.003905
3,76,6150389,0.003905
3,77,6153945,0.003907
3,78,6154875,0.003908
3,79,6153227,0.003907
3,80,6151454,0.003906
3,81,6149676,0.003905
3,82,6151437,0.003906
3,83,6150539,0.003905
3,84,6150236,0.003905
3,85,6153004,0.003907
3,86,6153737,0.003907
3,87,6149514,0.003904
3,88,6152463,0.003906
3,89,6152374,0.003906
3,90,6154596,0.003908
3,91,6149236,0.003904
3,92,6149371,0.003904
3,93,6152774,0.003907
3,94,6152016,0.003906
3,95,6152675,0.003906
3,96,6157332,0.003909
3,97,6147418,0.003903
3,98,6151439,0.003906
3,99,6149820,0.003905
3,100,6150195,0.003905
3,101,6151350,0.003906
3,102,6149625,0.003905
3,103,6152479,0.003906
3,104,6148468,0.003904
3,105,6150619,0.003905
3,106,6151839,0.003906
3,107,6149513,0.003904
3,108,6151241,0.003906
3,109,6152539,0.003906
3,110,6151592,0.003906
3,111,6150069,0.003905
3,112,6149198,0.003904
3,113,6149942,0.003905
3,114,6151580,0.003906
3,115,6149516,0.003904
3,116,6152617,0.003906
3,117,6153208,0.003907
3,118,6149824,0.003905
3,119,6152729,0.003906
3,120,6152393,0.003906
3,121,6149061,0.003904
3,122,6151344,0.003906
3,123,6150021,0.003905
3,124,6154984,0.003908
3,125,6151086,0.003905
3,126,6153099,0.003907
3,127,6150857,0.003905
3,128,6156903,0.003909
3,129,6152160,0.003906
3,130,6152789,0.003907
3,131,6151873,0.003906
3,132,6154419,0.003908
3,133,6150140,0.003905
3,134,6155069,0.003908
3,135,6151261,0.003906
3,136,6149552,0.003904
3,137,6147802,0.003903
3,138,6155447,0.003908
3,139,6154469,0.003908
3,140,6153985,0.003907
3,141,6153727,0.003907
3,142,6154632,0.003908
3,143,6159457,0.003911
3,144,6149749,0.003905
3,145,6152423,0.003906
3,146,6154966,0.003908
3,147,6156911,0.003909
3,148,6153432,0.003907
3,149,6150913,0.003905
3,150,6153400,0.003907
3,151,6152627,0.003906
3,152,6153706,0.003907
3,153,6153889,0.003907
3,154,6150502,0.003905
3,155,6155524,0.003908
3,156,6152841,0.003907
