0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1575000000,8.000000,233.304045,127.499059,3.141617,-0.000035862902903
2,Value,Occurrences,Fraction
3,0,6152155,0.003906
3,1,6150840,0.003905
3,2,6155973,0.003909
3,3,6151485,0.003906
3,4,6151220,0.003906
3,5,6153976,0.003907
3,6,6152152,0.003906
3,7,6149190,0.003904
3,8,6152713,0.003906
3,9,6151015,0.003905
3,10,6151233,0.003906
3,11,6151796,0.003906
3,12,6148665,0.003904
3,13,6154920,0.003908
3,14,6151936,0.003906
3,15,6153263,0.003907
3,16,6151961,0.003906
3,17,6156236,0.003909
3,18,6148670,0.003904
3,19,6151761,0.003906
3,20,6154735,0.003908
3,21,6150041,0.003905
3,22,6147357,0.003903
3,23,6150455,0.003905
3,24,6157394,0.003909
3,25,6150963,0.003905
3,26,6152721,0.003906
3,27,6150495,0.003905
3,28,6152700,0.003906
3,29,6153190,0.003907
3,30,6154380,0.003908
3,31,6151208,0.003906
3,32,6156741,0.003909
3,33,6148945,0.003904
3,34,6154867,0.003908
3,35,6149553,0.003904
3,36,6152450,0.003906
3,37,6154575,0.003908
3,38,6151433,0.003906
3,39,6152430,0.003906
3,40,6157167,0.003909
3,41,6152275,0.003906
3,42,6152631,0.003906
3,43,6150883,0.003905
3,44,6154441,0.003908
3,45,6151303,0.003906
3,46,6152237,0.003906
3,47,6153531,0.003907
3,48,6155618,0.003908
3,49,6153057,0.003907
3,50,6151398,0.003906
3,51,6155313,0.003908
3,52,6148179,0.003904
3,53,6155401,0.003908
3,54,6153406,0.003907
3,55,6154974,0.003908
3,56,6150286,0.003905
3,57,6154253,0.003907
3,58,6153795,0.003907
3,59,6148160,0.003904
3,60,6154473,0.003908
3,61,6153494,0.003907
3,62,6151415,0.003906
3,63,6150705,0.003905
3,64,6152784,0.003907
3,65,6149120,0.003904
3,66,6155838,0.003908
3,67,6153982,0.003907
3,68,6153874,0.003907
3,69,6152125,0.003906
3,70,6151828,0.003906
3,71,6156915,0.003909
3,72,6156419,0.003909
3,73,6152803,0.003907
3,74,6150764,0.003905
3,75,6146971,0.003903
3,76,6150531,0.003905
3,77,6152537,0.003906
3,78,6150175,0.003905
3,79,6154402,0.003908
3,80,6154181,0.003907
3,81,6150519,0.003905
3,82,6153232,0.003907
3,83,6154773,0.003908
3,84,6153132,0.003907
3,85,6150999,0.003905
3,86,6148541,0.003904
3,87,6154850,0.003908
3,88,6150453,0.003905
3,89,6155430,0.003908
3,90,6150311,0.003905
3,91,6149650,0.003905
3,92,6154347,0.003908
3,93,6153452,0.003907
3,94,6154447,0.003908
