0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,305.163681,127.493425,3.141698,-0.000001
2,Value,Occurrences,Fraction
3,0,8207069,0.003908
3,1,8208021,0.003909
3,2,8205985,0.003908
3,3,8202738,0.003906
3,4,8206117,0.003908
3,5,8204959,0.003907
3,6,8203848,0.003907
3,7,8202751,0.003906
3,8,8208578,0.003909
3,9,8205795,0.003908
3,10,8202971,0.003906
3,11,8204617,0.003907
3,12,8201919,0.003906
3,13,8205917,0.003908
3,14,8201891,0.003906
3,15,8204779,0.003907
3,16,8209136,0.003909
3,17,8208636,0.003909
3,18,8204779,0.003907
3,19,8207258,0.003908
3,20,8200949,0.003905
3,21,8202084,0.003906
3,22,8204387,0.003907
3,23,8201479,0.003905
3,24,8205024,0.003907
3,25,8205259,0.003907
3,26,8203071,0.003906
3,27,8199201,0.003904
3,28,8204948,0.003907
3,29,8196698,0.003903
3,30,8204068,0.003907
3,31,8201544,0.003905
3,32,8204408,0.003907
3,33,8206584,0.003908
3,34,8208379,0.003909
3,35,8204421,0.003907
3,36,8206064,0.003908
3,37,8198073,0.003904
3,38,8205861,0.003908
3,39,8202696,0.003906
3,40,8206108,0.003908
3,41,8198708,0.003904
3,42,8201939,0.003906
3,43,8207923,0.003909
3,44,8201932,0.003906
3,45,8205394,0.003907
3,46,8208225,0.003909
3,47,8198154,0.003904
3,48,8208506,0.003909
3,49,8203592,0.003906
3,50,8205214,0.003907
3,51,8200549,0.003905
3,52,8201612,0.003906
3,53,8203049,0.003906
3,54,8202615,0.003906
3,55,8196532,0.003903
3,56,8201881,0.003906
3,57,8199982,0.003905
3,58,8202835,0.003906
3,59,8200963,0.003905
3,60,8199679,0.003905
3,61,8198963,0.003904
3,62,8203508,0.003906
3,63,8200803,0.003905
3,64,8210777,0.003910
3,65,8206591,0.003908
3,66,8207649,0.003908
3,67,8201029,0.003905
3,68,8207752,0.003908
3,69,8205391,0.003907
3,70,8206243,0.003908
3,71,8200731,0.003905
3,72,8203533,0.003906
3,73,8206619,0.003908
3,74,8203020,0.003906
3,75,8201831,0.003906
3,76,8204480,0.003907
3,77,8203230,0.003906
3,78,8204183,0.003907
3,79,8204590,0.003907
3,80,8205011,0.003907
3,81,8204625,0.003907
3,82,8200434,0.003905
3,83,8206073,0.003908
3,84,8208457,0.003909
3,85,8207639,0.003908
3,86,8199721,0.003905
3,87,8201017,0.003905
3,88,8200381,0.003905
3,89,8199624,0.003905
3,90,8206395,0.003908
3,91,8201241,0.003905
3,92,8205922,0.003908
3,93,8204520,0.003907
3,94,8203742,0.003907
3,95,8203961,0.003907
3,96,8199699,0.003905
3,97,8205091,0.003907
3,98,8204786,0.003907
3,99,8196502,0.003903
3,100,8204544,0.003907
3,101,8203790,0.003907
3,102,8199168,0.003904
3,103,8201778,0.003906
3,104,8204033,0.003907
3,105,8205596,0.003907
3,106,8201822,0.003906
3,107,8200293,0.003905
3,108,8202311,0.003906
3,109,8201629,0.003906
3,110,8205095,0.003907
3,111,8202808,0.003906
3,112,8204200,0.003907
3,113,8203182,0.003906
3,114,8200041,0.003905
3,115,8199931,0.003905
3,116,8197883,0.003904
3,117,8201839,0.003906
3,118,8204552,0.003907
3,119,8206114,0.003908
3,120,8201250,0.003905
3,121,8205029,0.003907
3,122,8204104,0.003907
3,123,8206440,0.003908
3,124,8204040,0.003907
3,125,8206034,0.003908
3,126,8204128,0.003907
3,127,8201923,0.003906
3,128,8211312,0.003910
3,129,8207755,0.003908
3,130,8211827,0.003910
3,131,8204264,0.003907
3,132,8210627,0.003910
3,133,8204721,0.003907
3,134,8206271,0.003908
3,135,8202757,0.003906
3,136,8206549,0.003908
3,137,8207305,0.003908
3,138,8205849,0.003908
3,139,8203982,0.003907
3,140,8197106,0.003903
3,141,8203725,0.003907
3,142,8204541,0.003907
3,143,8194446,0.003902
3,144,8207054,0.003908
3,145,8205975,0.003908
3,146,8205908,0.003908
3,147,8204523,0.003907
3,148,8200239,0.003905
3,149,8205725,0.003907
3,150,8199915,0.003905
3,151,8199875,0.003905
3,152,8207390,0.003908
3,153,8203703,0.003907
3,154,8202033,0.003906
3,155,8196833,0.003903
3,156,8203086,0.003906
3,157,8204586,0.003907
3,158,8202033,0.003906
3,159,8199722,0.003905
3,160,8206473,0.003908
3,161,8204230,0.003907
3,162,8201616,0.003906
3,163,8203975,0.003907
3,164,8204321,0.003907
3,165,8204536,0.003907
3,166,8199602,0.003905
3,167,8200312,0.003905
3,168,8205730,0.003907
3,169,8200975,0.003905
3,170,8201176,0.003905
3,171,8205042,0.003907
3,172,8199584,0.003905
3,173,8197965,0.003904
3,174,8200235,0.003905
3,175,8199743,0.003905
3,176,8203493,0.003906
3,177,8205776,0.003908
3,178,8198677,0.003904
3,179,8200940,0.003905
3,180,8206437,0.003908
3,181,8201674,0.003906
3,182,8204022,0.003907
3,183,8200572,0.003905
3,184,8198481,0.003904
3,185,8200529,0.003905
3,186,8199983,0.003905
3,187,8199116,0.003904
3,188,8199699,0.003905
3,189,8197238,0.003903
3,190,8204402,0.003907
3,191,8201186,0.003905
3,192,8208444,0.003909
3,193,8202893,0.003906
3,194,8206904,0.003908
3,195,8201314,0.003905
3,196,8204568,0.003907
3,197,8204209,0.003907
3,198,8205423,0.003907
3,199,8199833,0.003905
3,200,8202068,0.003906
3,201,8202614,0.003906
3,202,8199030,0.003904
3,203,8202789,0.003906
3,204,8198773,0.003904
3,205,8199803,0.003905
3,206,8201973,0.003906
3,207,8194616,0.003902
3,208,8204991,0.003907
3,209,8206028,0.003908
3,210,8205951,0.003908
3,211,8201391,0.003905
3,212,8206813,0.003908
3,213,8202315,0.003906
3,214,8203539,0.003906
3,215,8197510,0.003904
3,216,8204548,0.003907
3,217,8203149,0.003906
3,218,8208244,0.003909
3,219,8206885,0.003908
3,220,8204460,0.003907
3,221,8199527,0.003905
3,222,8200934,0.003905
3,223,8198295,0.003904
3,224,8203765,0.003907
3,225,8206496,0.003908
3,226,8199198,0.003904
3,227,8207968,0.003909
3,228,8204276,0.003907
3,229,8199947,0.003905
3,230,8200230,0.003905
3,231,8199866,0.003905
3,232,8206311,0.003908
3,233,8199025,0.003904
3,234,8204338,0.003907
3,235,8200308,0.003905
3,236,8203776,0.003907
3,237,8200567,0.003905
3,238,8198786,0.003904
3,239,8198025,0.003904
3,240,8203860,0.003907
3,241,8200269,0.003905
3,242,8205720,0.003907
3,243,8198487,0.003904
3,244,8205831,0.003908
3,245,8199553,0.003905
3,246,8200931,0.003905
3,247,8203553,0.003906
