0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2110000000,8.000000,339.978073,127.490141,3.141772,0.000015
2,Value,Occurrences,Fraction
3,0,8252085,0.003911
3,1,8251656,0.003911
3,2,8249602,0.003910
3,3,8248832,0.003909
3,4,8248792,0.003909
3,5,8246387,0.003908
3,6,8243830,0.003907
3,7,8244015,0.003907
3,8,8245754,0.003908
3,9,8241604,0.003906
3,10,8245053,0.003908
3,11,8245186,0.003908
3,12,8245514,0.003908
3,13,8245474,0.003908
3,14,8242192,0.003906
3,15,8244340,0.003907
3,16,8244210,0.003907
3,17,8243509,0.003907
3,18,8242779,0.003907
3,19,8244087,0.003907
3,20,8244619,0.003907
3,21,8243650,0.003907
3,22,8243757,0.003907
3,23,8241926,0.003906
3,24,8240653,0.003906
3,25,8240490,0.003905
3,26,8240726,0.003906
3,27,8241701,0.003906
3,28,8246771,0.003908
3,29,8241260,0.003906
3,30,8245966,0.003908
3,31,8240340,0.003905
3,32,8248783,0.003909
3,33,8242238,0.003906
3,34,8245261,0.003908
3,35,8244822,0.003907
3,36,8243044,0.003907
3,37,8246932,0.003908
3,38,8246332,0.003908
3,39,8240926,0.003906
3,40,8243606,0.003907
3,41,8241113,0.003906
3,42,8245061,0.003908
3,43,8243852,0.003907
3,44,8240409,0.003905
3,45,8239918,0.003905
3,46,8243508,0.003907
3,47,8242297,0.003906
3,48,8243647,0.003907
3,49,8242837,0.003907
3,50,8242457,0.003906
3,51,8240405,0.003905
3,52,8243547,0.003907
3,53,8237210,0.003904
3,54,8244493,0.003907
3,55,8242424,0.003906
3,56,8244291,0.003907
3,57,8239934,0.003905
3,58,8238861,0.003905
3,59,8238487,0.003904
3,60,8241503,0.003906
3,61,8239475,0.003905
3,62,8243631,0.003907
3,63,8235134,0.003903
3,64,8251738,0.003911
3,65,8248900,0.003909
3,66,8247310,0.003909
3,67,8242980,0.003907
3,68,8248111,0.003909
3,69,8243720,0.003907
3,70,8236896,0.003904
3,71,8241885,0.003906
3,72,8247063,0.003909
3,73,8247230,0.003909
3,74,8239787,0.003905
3,75,8237048,0.003904
3,76,8245433,0.003908
3,77,8242449,0.003906
3,78,8238912,0.003905
3,79,8236839,0.003904
3,80,8246068,0.003908
3,81,8237928,0.003904
3,82,8243115,0.003907
3,83,8241970,0.003906
3,84,8244377,0.003907
3,85,8244680,0.003907
3,86,8243677,0.003907
3,87,8235530,0.003903
3,88,8238787,0.003905
3,89,8236895,0.003904
3,90,8240978,0.003906
3,91,8244155,0.003907
3,92,8246117,0.003908
3,93,8239326,0.003905
3,94,8247715,0.003909
3,95,8243926,0.003907
3,96,8246865,0.003908
3,97,8243846,0.003907
3,98,8241115,0.003906
3,99,8237013,0.003904
3,100,8246553,0.003908
3,101,8239500,0.003905
3,102,8238551,0.003905
3,103,8239039,0.003905
3,104,8248207,0.003909
3,105,8240015,0.003905
3,106,8243580,0.003907
3,107,8244623,0.003907
3,108,8240607,0.003906
3,109,8237030,0.003904
3,110,8240479,0.003905
3,111,8243418,0.003907
3,112,8246172,0.003908
3,113,8237320,0.003904
3,114,8245672,0.003908
3,115,8242388,0.003906
3,116,8236542,0.003904
3,117,8238687,0.003905
3,118,8242558,0.003906
3,119,8237895,0.003904
3,120,8241654,0.003906
3,121,8240426,0.003905
3,122,8239295,0.003905
3,123,8241709,0.003906
3,124,8238112,0.003904
3,125,8237406,0.003904
3,126,8245688,0.003908
3,127,8241108,0.003906
3,128,8241251,0.003906
3,129,8242327,0.003906
3,130,8244076,0.003907
3,131,8242817,0.003907
3,132,8242921,0.003907
3,133,8239045,0.003905
3,134,8242935,0.003907
3,135,8241014,0.003906
3,136,8243074,0.003907
3,137,8244238,0.003907
3,138,8240273,0.003905
3,139,8246720,0.003908
3,140,8243089,0.003907
3,141,8243632,0.003907
3,142,8243399,0.003907
3,143,8242721,0.003907
3,144,8247277,0.003909
3,145,8240460,0.003905
3,146,8238417,0.003904
3,147,8244813,0.003907
3,148,8239520,0.003905
3,149,8240765,0.003906
3,150,8240507,0.003905
3,151,8245997,0.003908
3,152,8243530,0.003907
3,153,8242237,0.003906
3,154,8245670,0.003908
3,155,8239810,0.003905
3,156,8241888,0.003906
3,157,8241307,0.003906
3,158,8242007,0.003906
3,159,8243135,0.003907
3,160,8247184,0.003909
3,161,8244790,0.003907
3,162,8244170,0.003907
3,163,8241563,0.003906
3,164,8244236,0.003907
3,165,8236840,0.003904
3,166,8246945,0.003909
3,167,8238127,0.003904
3,168,8243918,0.003907
3,169,8244734,0.003907
3,170,8245827,0.003908
3,171,8241603,0.003906
3,172,8239432,0.003905
3,173,8246594,0.003908
3,174,8238556,0.003905
3,175,8239936,0.003905
3,176,8243538,0.003907
3,177,8243640,0.003907
3,178,8244775,0.003907
3,179,8242556,0.003906
3,180,8249479,0.003910
3,181,8239964,0.003905
3,182,8245382,0.003908
3,183,8232846,0.003902
3,184,8242256,0.003906
3,185,8240273,0.003905
3,186,8244526,0.003907
3,187,8238327,0.003904
3,188,8244767,0.003907
3,189,8237284,0.003904
3,190,8240624,0.003906
3,191,8242531,0.003906
3,192,8244264,0.003907
3,193,8240966,0.003906
3,194,8239227,0.003905
3,195,8240405,0.003905
3,196,8239423,0.003905
3,197,8243194,0.003907
3,198,8238836,0.003905
3,199,8241524,0.003906
3,200,8244098,0.003907
3,201,8241129,0.003906
3,202,8238267,0.003904
3,203,8239552,0.003905
3,204,8244628,0.003907
3,205,8238630,0.003905
3,206,8242026,0.003906
3,207,8240291,0.003905
3,208,8240627,0.003906
3,209,8243132,0.003907
3,210,8244020,0.003907
3,211,8241252,0.003906
3,212,8238757,0.003905
3,213,8241222,0.003906
3,214,8246824,0.003908
3,215,8240222,0.003905
3,216,8237732,0.003904
3,217,8238525,0.003905
