Cannot open file quantis-PCIE-16M1GB.bin
0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1049000000,8.000000,348.479985,127.493261,3.141681,0.000028
2,Value,Occurrences,Fraction
3,0,4100687,0.003909
3,1,4103764,0.003912
3,2,4099345,0.003908
3,3,4100567,0.003909
3,4,4096805,0.003905
3,5,4099204,0.003908
3,6,4095016,0.003904
3,7,4095077,0.003904
3,8,4100603,0.003909
3,9,4100961,0.003909
3,10,4100630,0.003909
3,11,4100028,0.003909
3,12,4100346,0.003909
3,13,4098263,0.003907
3,14,4096077,0.003905
3,15,4099689,0.003908
3,16,4100722,0.003909
3,17,4100546,0.003909
3,18,4101158,0.003910
3,19,4095593,0.003904
3,20,4096885,0.003906
3,21,4097254,0.003906
3,22,4098057,0.003907
3,23,4093940,0.003903
3,24,4098071,0.003907
3,25,4102921,0.003911
3,26,4102621,0.003911
3,27,4094893,0.003904
3,28,4100694,0.003909
3,29,4095206,0.003904
3,30,4094741,0.003903
3,31,4096691,0.003905
3,32,4099164,0.003908
3,33,4099042,0.003908
3,34,4096243,0.003905
3,35,4097186,0.003906
3,36,4098731,0.003907
3,37,4095679,0.003904
3,38,4094985,0.003904
3,39,4096365,0.003905
3,40,4101003,0.003909
3,41,4099447,0.003908
3,42,4097851,0.003906
3,43,4098346,0.003907
3,44,4094044,0.003903
3,45,4099088,0.003908
3,46,4096372,0.003905
3,47,4099507,0.003908
3,48,4100793,0.003909
3,49,4095774,0.003904
3,50,4099113,0.003908
3,51,4095566,0.003904
3,52,4097695,0.003906
3,53,4095341,0.003904
3,54,4097753,0.003906
3,55,4095677,0.003904
3,56,4101816,0.003910
3,57,4097012,0.003906
3,58,4094861,0.003904
3,59,4093304,0.003902
3,60,4096747,0.003905
3,61,4094440,0.003903
3,62,4094185,0.003903
3,63,4095150,0.003904
3,64,4105314,0.003914
3,65,4102160,0.003911
3,66,4101277,0.003910
3,67,4099897,0.003908
3,68,4101743,0.003910
3,69,4096838,0.003905
3,70,4100433,0.003909
3,71,4098668,0.003907
3,72,4099417,0.003908
3,73,4098052,0.003907
3,74,4098492,0.003907
3,75,4098576,0.003907
3,76,4094804,0.003904
3,77,4094693,0.003903
3,78,4100185,0.003909
3,79,4094804,0.003904
3,80,4100331,0.003909
3,81,4097844,0.003906
3,82,4098023,0.003907
3,83,4097079,0.003906
3,84,4096540,0.003905
3,85,4094711,0.003903
3,86,4094849,0.003904
3,87,4096329,0.003905
3,88,4097006,0.003906
3,89,4094683,0.003903
3,90,4094567,0.003903
3,91,4099600,0.003908
3,92,4097418,0.003906
3,93,4097654,0.003906
3,94,4096455,0.003905
3,95,4094962,0.003904
3,96,4098442,0.003907
3,97,4099830,0.003908
3,98,4096633,0.003905
3,99,4100267,0.003909
3,100,4097176,0.003906
3,101,4096793,0.003905
3,102,4094965,0.003904
3,103,4099264,0.003908
3,104,4100293,0.003909
3,105,4098851,0.003907
3,106,4100048,0.003909
3,107,4095957,0.003905
3,108,4100210,0.003909
3,109,4097492,0.003906
3,110,4102248,0.003911
3,111,4096700,0.003905
3,112,4096067,0.003905
3,113,4098980,0.003908
3,114,4096069,0.003905
3,115,4096044,0.003905
3,116,4094720,0.003903
3,117,4096229,0.003905
3,118,4098111,0.003907
3,119,4095626,0.003904
3,120,4095382,0.003904
3,121,4091056,0.003900
3,122,4098262,0.003907
3,123,4096203,0.003905
3,124,4095708,0.003904
3,125,4097644,0.003906
3,126,4097487,0.003906
3,127,4099700,0.003908
3,128,4102546,0.003911
3,129,4101352,0.003910
3,130,4095458,0.003904
3,131,4095832,0.003905
3,132,4099088,0.003908
3,133,4098131,0.003907
3,134,4102025,0.003910
