0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,209909345664,8,25342.962686,127.49255,3.141684,4.03101858E-07
2,Value,Occurrences,Fraction,,,HTCC
3,0,820973347,0.003911,,,0.1846846018
3,1,820662763,0.00391,,,
3,2,820472443,0.003909,,,
3,3,820574141,0.003909,,,
3,4,820526694,0.003909,,,
3,5,820203811,0.003907,,,
3,6,820451989,0.003909,,,
3,7,820523769,0.003909,,,
3,8,820515698,0.003909,,,
3,9,820232416,0.003908,,,
3,10,820013617,0.003907,,,
3,11,820137483,0.003907,,,
3,12,820432739,0.003909,,,
3,13,820190746,0.003907,,,
3,14,820284423,0.003908,,,
3,15,820416187,0.003908,,,
3,16,820520055,0.003909,,,
3,17,820316042,0.003908,,,
3,18,820056040,0.003907,,,
3,19,820213093,0.003907,,,
3,20,820052436,0.003907,,,
3,21,819719072,0.003905,,,
3,22,819964095,0.003906,,,
3,23,820014292,0.003907,,,
3,24,820494214,0.003909,,,
3,25,820170372,0.003907,,,
3,26,819953260,0.003906,,,
3,27,820097402,0.003907,,,
3,28,820349056,0.003908,,,
3,29,820029944,0.003907,,,
3,30,820243738,0.003908,,,
3,31,820319070,0.003908,,,
3,32,820519144,0.003909,,,
3,33,820236387,0.003908,,,
3,34,820063916,0.003907,,,
3,35,820158230,0.003907,,,
3,36,820062046,0.003907,,,
3,37,819732473,0.003905,,,
3,38,819997081,0.003906,,,
3,39,820052829,0.003907,,,
3,40,820084039,0.003907,,,
3,41,819756461,0.003905,,,
3,42,819535314,0.003904,,,
3,43,819657287,0.003905,,,
3,44,820014160,0.003907,,,
3,45,819656673,0.003905,,,
3,46,819791141,0.003905,,,
3,47,819954715,0.003906,,,
3,48,820430269,0.003908,,,
3,49,820164744,0.003907,,,
3,50,819937587,0.003906,,,
3,51,820091586,0.003907,,,
3,52,819964317,0.003906,,,
3,53,819632599,0.003905,,,
3,54,819849094,0.003906,,,
3,55,819946507,0.003906,,,
3,56,820394793,0.003908,,,
3,57,820136607,0.003907,,,
3,58,819842855,0.003906,,,
3,59,819965267,0.003906,,,
3,60,820250261,0.003908,,,
3,61,819987285,0.003906,,,
3,62,820150365,0.003907,,,
