0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,34359738368,8,255.702455,127.500082,3.14161,-2.819659661E-06,0.5226628296
2,Value,Occurrences,Fraction,,,,
3,0,134210379,0.003906,,,,
3,1,134213953,0.003906,,,,
3,2,134234958,0.003907,,,,
3,3,134227339,0.003907,,,,
3,4,134232047,0.003907,,,,
3,5,134219896,0.003906,,,,
3,6,134208951,0.003906,,,,
3,7,134220818,0.003906,,,,
3,8,134216621,0.003906,,,,
3,9,134207515,0.003906,,,,
3,10,134233085,0.003907,,,,
3,11,134214194,0.003906,,,,
3,12,134224051,0.003906,,,,
3,13,134197308,0.003906,,,,
3,14,134228084,0.003907,,,,
3,15,134190071,0.003905,,,,
3,16,134228327,0.003907,,,,
3,17,134227107,0.003907,,,,
3,18,134225012,0.003906,,,,
3,19,134227562,0.003907,,,,
3,20,134222922,0.003906,,,,
3,21,134215556,0.003906,,,,
3,22,134213271,0.003906,,,,
3,23,134206816,0.003906,,,,
3,24,134244718,0.003907,,,,
3,25,134212797,0.003906,,,,
3,26,134212969,0.003906,,,,
3,27,134202390,0.003906,,,,
3,28,134228701,0.003907,,,,
3,29,134206609,0.003906,,,,
3,30,134216928,0.003906,,,,
3,31,134233658,0.003907,,,,
3,32,134215043,0.003906,,,,
3,33,134220348,0.003906,,,,
3,34,134239428,0.003907,,,,
3,35,134215307,0.003906,,,,
3,36,134199156,0.003906,,,,
3,37,134197306,0.003906,,,,
3,38,134224226,0.003906,,,,
3,39,134224351,0.003906,,,,
3,40,134206421,0.003906,,,,
3,41,134217701,0.003906,,,,
3,42,134240640,0.003907,,,,
3,43,134211499,0.003906,,,,
3,44,134218730,0.003906,,,,
3,45,134211152,0.003906,,,,
3,46,134182374,0.003905,,,,
3,47,134224892,0.003906,,,,
3,48,134235993,0.003907,,,,
3,49,134203408,0.003906,,,,
3,50,134213576,0.003906,,,,
3,51,134237310,0.003907,,,,
3,52,134223781,0.003906,,,,
3,53,134219903,0.003906,,,,
3,54,134191078,0.003905,,,,
3,55,134206476,0.003906,,,,
3,56,134236241,0.003907,,,,
3,57,134210487,0.003906,,,,
3,58,134210111,0.003906,,,,
3,59,134190106,0.003905,,,,
3,60,134224725,0.003906,,,,
3,61,134204959,0.003906,,,,
3,62,134199830,0.003906,,,,
3,63,134209114,0.003906,,,,
3,64,134204509,0.003906,,,,
3,65,134228151,0.003907,,,,
3,66,134223085,0.003906,,,,
3,67,134221985,0.003906,,,,
3,68,134205207,0.003906,,,,
3,69,134224345,0.003906,,,,
3,70,134242772,0.003907,,,,
3,71,134220277,0.003906,,,,
3,72,134190087,0.003905,,,,
3,73,134203050,0.003906,,,,
3,74,134216937,0.003906,,,,
3,75,134233689,0.003907,,,,
3,76,134221573,0.003906,,,,
3,77,134217107,0.003906,,,,
3,78,134217068,0.003906,,,,
3,79,134231623,0.003907,,,,
3,80,134226440,0.003907,,,,
3,81,134224817,0.003906,,,,
3,82,134199567,0.003906,,,,
3,83,134214982,0.003906,,,,
3,84,134206764,0.003906,,,,
3,85,134231627,0.003907,,,,
3,86,134221816,0.003906,,,,
3,87,134217813,0.003906,,,,
3,88,134217450,0.003906,,,,
3,89,134219251,0.003906,,,,
3,90,134205448,0.003906,,,,
3,91,134227492,0.003907,,,,
3,92,134215056,0.003906,,,,
3,93,134216058,0.003906,,,,
3,94,134236163,0.003907,,,,
3,95,134226727,0.003907,,,,
3,96,134212602,0.003906,,,,
3,97,134215920,0.003906,,,,
3,98,134230687,0.003907,,,,
3,99,134232123,0.003907,,,,
3,100,134181524,0.003905,,,,
3,101,134227861,0.003907,,,,
3,102,134207058,0.003906,,,,
3,103,134224360,0.003906,,,,
3,104,134223124,0.003906,,,,
3,105,134215066,0.003906,,,,
3,106,134233561,0.003907,,,,
3,107,134210106,0.003906,,,,
3,108,134210716,0.003906,,,,
3,109,134202227,0.003906,,,,
3,110,134219311,0.003906,,,,
3,111,134214132,0.003906,,,,
3,112,134222774,0.003906,,,,
3,113,134209950,0.003906,,,,
3,114,134213971,0.003906,,,,
3,115,134215170,0.003906,,,,
3,116,134209961,0.003906,,,,
3,117,134216810,0.003906,,,,
3,118,134224719,0.003906,,,,
3,119,134216791,0.003906,,,,
3,120,134213456,0.003906,,,,
3,121,134218625,0.003906,,,,
3,122,134210670,0.003906,,,,
3,123,134213287,0.003906,,,,
3,124,134230273,0.003907,,,,
3,125,134206147,0.003906,,,,
3,126,134222578,0.003906,,,,
3,127,134199765,0.003906,,,,
3,128,134225911,0.003906,,,,
3,129,134234400,0.003907,,,,
3,130,134218708,0.003906,,,,
3,131,134225256,0.003906,,,,
3,132,134214859,0.003906,,,,
3,133,134233074,0.003907,,,,
3,134,134218599,0.003906,,,,
3,135,134215336,0.003906,,,,
3,136,134232225,0.003907,,,,
3,137,134218122,0.003906,,,,
3,138,134205549,0.003906,,,,
3,139,134218981,0.003906,,,,
3,140,134232234,0.003907,,,,
3,141,134211150,0.003906,,,,
3,142,134228644,0.003907,,,,
3,143,134222044,0.003906,,,,
3,144,134221137,0.003906,,,,
3,145,134223425,0.003906,,,,
3,146,134229396,0.003907,,,,
3,147,134228632,0.003907,,,,
3,148,134218226,0.003906,,,,
3,149,134214900,0.003906,,,,
3,150,134207257,0.003906,,,,
3,151,134222579,0.003906,,,,
3,152,134231030,0.003907,,,,
3,153,134206659,0.003906,,,,
3,154,134230972,0.003907,,,,
3,155,134204393,0.003906,,,,
3,156,134199351,0.003906,,,,
3,157,134216501,0.003906,,,,
3,158,134216349,0.003906,,,,
3,159,134213009,0.003906,,,,
3,160,134220184,0.003906,,,,
3,161,134220256,0.003906,,,,
3,162,134214283,0.003906,,,,
3,163,134211614,0.003906,,,,
3,164,134219360,0.003906,,,,
3,165,134223742,0.003906,,,,
3,166,134194164,0.003906,,,,
3,167,134220880,0.003906,,,,
3,168,134216610,0.003906,,,,
3,169,134218911,0.003906,,,,
3,170,134233239,0.003907,,,,
3,171,134240645,0.003907,,,,
3,172,134213721,0.003906,,,,
3,173,134208574,0.003906,,,,
3,174,134223020,0.003906,,,,
3,175,134221424,0.003906,,,,
3,176,134206593,0.003906,,,,
3,177,134228627,0.003907,,,,
3,178,134235793,0.003907,,,,
3,179,134217594,0.003906,,,,
3,180,134214714,0.003906,,,,
3,181,134211940,0.003906,,,,
3,182,134204291,0.003906,,,,
3,183,134226582,0.003907,,,,
3,184,134223492,0.003906,,,,
3,185,134213994,0.003906,,,,
