0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,514.283155,127.489244,3.141785,-0.000016358223290
2,Value,Occurrences,Fraction
3,0,8212914,0.003911
3,1,8210445,0.003910
3,2,8209225,0.003909
3,3,8213506,0.003911
3,4,8209772,0.003909
3,5,8209607,0.003909
3,6,8207521,0.003908
3,7,8207901,0.003909
3,8,8209746,0.003909
3,9,8206783,0.003908
3,10,8203110,0.003906
3,11,8204703,0.003907
3,12,8200164,0.003905
3,13,8202399,0.003906
3,14,8206930,0.003908
3,15,8205292,0.003907
3,16,8214158,0.003912
3,17,8208334,0.003909
3,18,8203327,0.003906
3,19,8206740,0.003908
3,20,8210476,0.003910
3,21,8204162,0.003907
3,22,8205277,0.003907
3,23,8201245,0.003905
3,24,8214152,0.003912
3,25,8209562,0.003909
3,26,8205915,0.003908
3,27,8207313,0.003908
3,28,8207696,0.003908
3,29,8204949,0.003907
3,30,8202893,0.003906
3,31,8209433,0.003909
3,32,8210109,0.003910
3,33,8207420,0.003908
3,34,8207122,0.003908
3,35,8202584,0.003906
3,36,8202754,0.003906
3,37,8198435,0.003904
3,38,8202180,0.003906
3,39,8202704,0.003906
3,40,8204546,0.003907
3,41,8206537,0.003908
3,42,8196845,0.003903
3,43,8197878,0.003904
3,44,8203260,0.003906
3,45,8203029,0.003906
3,46,8206015,0.003908
3,47,8204026,0.003907
3,48,8205744,0.003907
3,49,8206336,0.003908
3,50,8202260,0.003906
3,51,8203346,0.003906
3,52,8202742,0.003906
3,53,8195712,0.003903
3,54,8201007,0.003905
3,55,8201452,0.003905
3,56,8207137,0.003908
3,57,8210231,0.003910
3,58,8201900,0.003906
3,59,8204183,0.003907
3,60,8204149,0.003907
3,61,8202664,0.003906
3,62,8207866,0.003909
3,63,8204783,0.003907
3,64,8208247,0.003909
3,65,8206144,0.003908
3,66,8205909,0.003908
3,67,8201841,0.003906
3,68,8207811,0.003908
3,69,8203052,0.003906
3,70,8200251,0.003905
3,71,8202788,0.003906
3,72,8207602,0.003908
3,73,8198428,0.003904
3,74,8197684,0.003904
3,75,8197207,0.003903
3,76,8205233,0.003907
3,77,8202784,0.003906
3,78,8197881,0.003904
3,79,8199383,0.003904
3,80,8202012,0.003906
3,81,8205854,0.003908
3,82,8198613,0.003904
3,83,8200323,0.003905
3,84,8201705,0.003906
3,85,8198928,0.003904
3,86,8198462,0.003904
3,87,8197470,0.003904
