0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2097152000,8.000000,480.004589,127.492028,3.141712,0.000016521469883
2,Value,Occurrences,Fraction
3,0,8199341,0.003910
3,1,8200271,0.003910
3,2,8201953,0.003911
3,3,8193153,0.003907
3,4,8198284,0.003909
3,5,8195624,0.003908
3,6,8195595,0.003908
3,7,8194943,0.003908
3,8,8203143,0.003912
3,9,8192746,0.003907
3,10,8192310,0.003906
3,11,8190961,0.003906
3,12,8194368,0.003907
3,13,8194067,0.003907
3,14,8199756,0.003910
3,15,8202660,0.003911
3,16,8198001,0.003909
3,17,8192207,0.003906
3,18,8189832,0.003905
3,19,8194607,0.003907
3,20,8195302,0.003908
3,21,8191529,0.003906
3,22,8189694,0.003905
3,23,8198161,0.003909
3,24,8193590,0.003907
3,25,8192236,0.003906
3,26,8192466,0.003906
3,27,8188257,0.003904
3,28,8198817,0.003910
3,29,8194065,0.003907
3,30,8193668,0.003907
3,31,8192509,0.003906
3,32,8200124,0.003910
3,33,8191082,0.003906
3,34,8193054,0.003907
3,35,8194018,0.003907
3,36,8191220,0.003906
3,37,8189055,0.003905
3,38,8192869,0.003907
3,39,8194233,0.003907
3,40,8192194,0.003906
3,41,8191312,0.003906
3,42,8184120,0.003902
3,43,8187356,0.003904
3,44,8195019,0.003908
3,45,8189680,0.003905
3,46,8193636,0.003907
3,47,8195416,0.003908
3,48,8193952,0.003907
3,49,8189616,0.003905
3,50,8190518,0.003906
3,51,8187698,0.003904
3,52,8193202,0.003907
3,53,8188105,0.003904
3,54,8191441,0.003906
3,55,8187604,0.003904
3,56,8196749,0.003909
3,57,8192531,0.003907
3,58,8192419,0.003906
3,59,8199178,0.003910
3,60,8190064,0.003905
3,61,8192190,0.003906
3,62,8199145,0.003910
3,63,8192419,0.003906
3,64,8196444,0.003908
3,65,8195230,0.003908
3,66,8190720,0.003906
3,67,8193443,0.003907
3,68,8194909,0.003908
3,69,8191307,0.003906
3,70,8188136,0.003904
3,71,8194291,0.003907
3,72,8193769,0.003907
3,73,8189466,0.003905
3,74,8185896,0.003903
3,75,8188429,0.003905
3,76,8196144,0.003908
3,77,8193240,0.003907
3,78,8190530,0.003906
3,79,8196429,0.003908
3,80,8192908,0.003907
3,81,8190323,0.003905
3,82,8189418,0.003905
3,83,8191474,0.003906
3,84,8190249,0.003905
3,85,8184646,0.003903
3,86,8186802,0.003904
3,87,8190436,0.003906
3,88,8189277,0.003905
3,89,8189694,0.003905
3,90,8185620,0.003903
3,91,8186294,0.003904
3,92,8188810,0.003905
3,93,8189171,0.003905
3,94,8191176,0.003906
3,95,8193308,0.003907
3,96,8199002,0.003910
3,97,8196106,0.003908
3,98,8192124,0.003906
3,99,8188227,0.003904
3,100,8191861,0.003906
3,101,8196079,0.003908
3,102,8189857,0.003905
3,103,8193985,0.003907
3,104,8193422,0.003907
3,105,8183823,0.003902
3,106,8186079,0.003903
3,107,8184025,0.003902
3,108,8190758,0.003906
3,109,8188934,0.003905
3,110,8195554,0.003908
3,111,8189185,0.003905
3,112,8196267,0.003908
3,113,8195591,0.003908
3,114,8191073,0.003906
3,115,8198631,0.003909
3,116,8193905,0.003907
3,117,8190774,0.003906
3,118,8185943,0.003903
3,119,8192118,0.003906
3,120,8191475,0.003906
3,121,8191664,0.003906
3,122,8190643,0.003906
3,123,8190579,0.003906
3,124,8193686,0.003907
3,125,8192652,0.003907
3,126,8187817,0.003904
3,127,8191786,0.003906
3,128,8198935,0.003910
3,129,8192068,0.003906
3,130,8193208,0.003907
3,131,8197315,0.003909
3,132,8199905,0.003910
3,133,8191146,0.003906
3,134,8194844,0.003908
3,135,8197997,0.003909
3,136,8192029,0.003906
3,137,8188321,0.003904
3,138,8187451,0.003904
3,139,8190465,0.003906
3,140,8198878,0.003910
3,141,8190307,0.003905
3,142,8196501,0.003908
3,143,8195379,0.003908
3,144,8195604,0.003908
3,145,8195878,0.003908
3,146,8192598,0.003907
3,147,8192555,0.003907
3,148,8192487,0.003906
3,149,8187561,0.003904
3,150,8186977,0.003904
3,151,8190656,0.003906
3,152,8193417,0.003907
3,153,8194530,0.003907
3,154,8187181,0.003904
3,155,8186741,0.003904
3,156,8197971,0.003909
3,157,8185783,0.003903
3,158,8194722,0.003908
3,159,8193554,0.003907
3,160,8193740,0.003907
3,161,8192156,0.003906
3,162,8185001,0.003903
3,163,8187931,0.003904
3,164,8189387,0.003905
3,165,8186259,0.003904
3,166,8189963,0.003905
3,167,8190735,0.003906
3,168,8193847,0.003907
3,169,8186095,0.003903
3,170,8179510,0.003900
3,171,8191600,0.003906
3,172,8189772,0.003905
3,173,8186088,0.003903
3,174,8192837,0.003907
3,175,8188503,0.003905
3,176,8193951,0.003907
3,177,8193742,0.003907
3,178,8186375,0.003904
3,179,8189717,0.003905
3,180,8185894,0.003903
3,181,8187504,0.003904
3,182,8190168,0.003905
3,183,8188692,0.003905
3,184,8192446,0.003906
3,185,8191063,0.003906
3,186,8190888,0.003906
3,187,8192834,0.003907
3,188,8193117,0.003907
3,189,8190238,0.003905
3,190,8192881,0.003907
3,191,8192945,0.003907
3,192,8199389,0.003910
3,193,8195230,0.003908
3,194,8193847,0.003907
3,195,8200203,0.003910
3,196,8194037,0.003907
3,197,8190919,0.003906
3,198,8193769,0.003907
3,199,8198162,0.003909
3,200,8194152,0.003907
3,201,8191314,0.003906
3,202,8186396,0.003904
