0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1572864000,8.000000,265.232615,127.500315,3.141615,-0.000025844481583
2,Value,Occurrences,Fraction
3,0,6143885,0.003906
3,1,6145163,0.003907
3,2,6138982,0.003903
3,3,6145202,0.003907
3,4,6144700,0.003907
3,5,6150235,0.003910
3,6,6145118,0.003907
3,7,6147973,0.003909
3,8,6144576,0.003907
3,9,6145380,0.003907
3,10,6149604,0.003910
3,11,6146707,0.003908
3,12,6142579,0.003905
3,13,6141837,0.003905
3,14,6141352,0.003905
3,15,6143968,0.003906
3,16,6142136,0.003905
3,17,6151441,0.003911
3,18,6143621,0.003906
3,19,6144143,0.003906
3,20,6139821,0.003904
3,21,6140996,0.003904
3,22,6147750,0.003909
3,23,6145674,0.003907
3,24,6144676,0.003907
3,25,6145644,0.003907
3,26,6140427,0.003904
3,27,6146733,0.003908
3,28,6140952,0.003904
3,29,6145507,0.003907
3,30,6145690,0.003907
3,31,6145398,0.003907
3,32,6146371,0.003908
3,33,6137281,0.003902
3,34,6146488,0.003908
3,35,6142192,0.003905
3,36,6145327,0.003907
3,37,6143514,0.003906
3,38,6143107,0.003906
3,39,6146149,0.003908
3,40,6143237,0.003906
3,41,6146148,0.003908
3,42,6140326,0.003904
3,43,6143614,0.003906
3,44,6139439,0.003903
3,45,6140678,0.003904
3,46,6143882,0.003906
3,47,6143150,0.003906
3,48,6141379,0.003905
3,49,6145322,0.003907
3,50,6142671,0.003905
3,51,6146021,0.003908
3,52,6142380,0.003905
3,53,6141190,0.003904
3,54,6146895,0.003908
3,55,6144914,0.003907
3,56,6146592,0.003908
3,57,6147254,0.003908
3,58,6144266,0.003906
3,59,6142173,0.003905
3,60,6139792,0.003904
3,61,6144045,0.003906
3,62,6147323,0.003908
3,63,6144257,0.003906
3,64,6142662,0.003905
3,65,6146758,0.003908
3,66,6141383,0.003905
3,67,6141073,0.003904
3,68,6146073,0.003908
3,69,6144995,0.003907
3,70,6142736,0.003905
3,71,6142231,0.003905
3,72,6142906,0.003906
3,73,6142012,0.003905
3,74,6145126,0.003907
3,75,6145973,0.003908
3,76,6146804,0.003908
3,77,6143267,0.003906
3,78,6142783,0.003905
3,79,6139987,0.003904
3,80,6142552,0.003905
3,81,6147384,0.003908
3,82,6139234,0.003903
3,83,6144281,0.003906
3,84,6147593,0.003909
3,85,6144134,0.003906
3,86,6147685,0.003909
3,87,6145582,0.003907
3,88,6143400,0.003906
3,89,6139108,0.003903
3,90,6137207,0.003902
3,91,6143441,0.003906
3,92,6146789,0.003908
3,93,6143130,0.003906
3,94,6140144,0.003904
3,95,6138897,0.003903
3,96,6139940,0.003904
3,97,6143379,0.003906
3,98,6141985,0.003905
3,99,6141579,0.003905
3,100,6142784,0.003905
3,101,6144283,0.003906
3,102,6146918,0.003908
3,103,6145077,0.003907
3,104,6142750,0.003905
3,105,6142830,0.003906
3,106,6142784,0.003905
3,107,6145103,0.003907
3,108,6144606,0.003907
3,109,6144357,0.003906
3,110,6144783,0.003907
3,111,6141868,0.003905
3,112,6144836,0.003907
3,113,6146447,0.003908
3,114,6146792,0.003908
3,115,6147097,0.003908
3,116,6144238,0.003906
3,117,6144264,0.003906
3,118,6140872,0.003904
3,119,6141969,0.003905
3,120,6143183,0.003906
3,121,6146337,0.003908
3,122,6143017,0.003906
3,123,6146582,0.003908
3,124,6144575,0.003907
3,125,6145312,0.003907
3,126,6139845,0.003904
3,127,6143345,0.003906
3,128,6140360,0.003904
3,129,6147063,0.003908
3,130,6148142,0.003909
3,131,6142996,0.003906
3,132,6145821,0.003907
3,133,6140364,0.003904
3,134,6143620,0.003906
3,135,6142295,0.003905
3,136,6148740,0.003909
3,137,6143059,0.003906
3,138,6144337,0.003906
3,139,6145154,0.003907
3,140,6145303,0.003907
3,141,6140910,0.003904
3,142,6145433,0.003907
3,143,6143089,0.003906
3,144,6149786,0.003910
3,145,6146135,0.003908
3,146,6145188,0.003907
3,147,6141050,0.003904
3,148,6145842,0.003907
3,149,6146595,0.003908
3,150,6143207,0.003906
3,151,6144363,0.003906
3,152,6148944,0.003909
3,153,6141405,0.003905
3,154,6144594,0.003907
3,155,6142715,0.003905
3,156,6142272,0.003905
3,157,6143592,0.003906
3,158,6141512,0.003905
3,159,6149220,0.003910
3,160,6139844,0.003904
3,161,6142055,0.003905
3,162,6141599,0.003905
3,163,6142541,0.003905
3,164,6145861,0.003907
3,165,6145626,0.003907
3,166,6143812,0.003906
3,167,6141986,0.003905
3,168,6145742,0.003907
3,169,6147019,0.003908
3,170,6137979,0.003902
3,171,6146433,0.003908
3,172,6145831,0.003907
3,173,6142591,0.003905
3,174,6142604,0.003905
3,175,6144934,0.003907
3,176,6147225,0.003908
3,177,6144831,0.003907
3,178,6145179,0.003907
3,179,6144081,0.003906
3,180,6139597,0.003903
3,181,6143409,0.003906
3,182,6141974,0.003905
3,183,6140670,0.003904
3,184,6145369,0.003907
3,185,6146273,0.003908
3,186,6144261,0.003906
3,187,6143849,0.003906
3,188,6142655,0.003905
3,189,6146978,0.003908
3,190,6143106,0.003906
3,191,6138726,0.003903
3,192,6147774,0.003909
3,193,6141447,0.003905
3,194,6149232,0.003910
3,195,6146677,0.003908
3,196,6140912,0.003904
3,197,6140625,0.003904
3,198,6149694,0.003910
3,199,6146347,0.003908
3,200,6145121,0.003907
3,201,6140855,0.003904
3,202,6144785,0.003907
3,203,6141702,0.003905
3,204,6145347,0.003907
3,205,6145154,0.003907
3,206,6147199,0.003908
3,207,6142098,0.003905
3,208,6145616,0.003907
3,209,6145932,0.003907
3,210,6145168,0.003907
3,211,6142963,0.003906
3,212,6141224,0.003904
3,213,6140182,0.003904
3,214,6147206,0.003908
3,215,6145820,0.003907
3,216,6146134,0.003908
3,217,6143821,0.003906
3,218,6145246,0.003907
3,219,6142529,0.003905
3,220,6143058,0.003906
3,221,6140271,0.003904
3,222,6145556,0.003907
3,223,6142004,0.003905
3,224,6142110,0.003905
3,225,6145927,0.003907
3,226,6142830,0.003906
3,227,6142910,0.003906
3,228,6142915,0.003906
3,229,6145819,0.003907
3,230,6143221,0.003906
3,231,6142862,0.003906
3,232,6144959,0.003907
3,233,6143369,0.003906
3,234,6145579,0.003907
3,235,6148358,0.003909
3,236,6143589,0.003906
3,237,6144705,0.003907
3,238,6147706,0.003909
3,239,6140798,0.003904
3,240,6142463,0.003905
3,241,6141737,0.003905
3,242,6143108,0.003906
3,243,6142222,0.003905
3,244,6145365,0.003907
3,245,6142466,0.003905
3,246,6142582,0.003905
3,247,6141534,0.003905
3,248,6145347,0.003907
3,249,6143584,0.003906
3,250,6142558,0.003905
3,251,6146802,0.003908
3,252,6146329,0.003908
3,253,6147477,0.003908
3,254,6146082,0.003908
3,255,6144928,0.003907
