0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1572864000,8.000000,279.934924,127.503148,3.141277,0.000001870588881
2,Value,Occurrences,Fraction
3,0,6144725,0.003907
3,1,6146661,0.003908
3,2,6144925,0.003907
3,3,6143027,0.003906
3,4,6146177,0.003908
3,5,6140456,0.003904
3,6,6149882,0.003910
3,7,6140690,0.003904
3,8,6147876,0.003909
3,9,6143861,0.003906
3,10,6145738,0.003907
3,11,6142260,0.003905
3,12,6147398,0.003908
3,13,6146300,0.003908
3,14,6142334,0.003905
3,15,6142339,0.003905
3,16,6142625,0.003905
3,17,6145700,0.003907
3,18,6142114,0.003905
3,19,6141626,0.003905
3,20,6143734,0.003906
3,21,6144268,0.003906
3,22,6150002,0.003910
3,23,6144003,0.003906
3,24,6140620,0.003904
3,25,6143666,0.003906
3,26,6144483,0.003907
3,27,6142655,0.003905
3,28,6143172,0.003906
3,29,6142947,0.003906
3,30,6144087,0.003906
3,31,6142303,0.003905
3,32,6144434,0.003907
3,33,6142494,0.003905
3,34,6146812,0.003908
3,35,6143814,0.003906
3,36,6141447,0.003905
3,37,6141753,0.003905
3,38,6146800,0.003908
3,39,6144077,0.003906
3,40,6141802,0.003905
3,41,6144180,0.003906
3,42,6137259,0.003902
3,43,6146822,0.003908
3,44,6145788,0.003907
3,45,6147060,0.003908
3,46,6141752,0.003905
3,47,6142909,0.003906
3,48,6145101,0.003907
3,49,6141759,0.003905
3,50,6141512,0.003905
3,51,6140174,0.003904
3,52,6142067,0.003905
3,53,6147630,0.003909
3,54,6137982,0.003902
3,55,6138202,0.003903
3,56,6145011,0.003907
3,57,6142192,0.003905
3,58,6144033,0.003906
3,59,6147761,0.003909
3,60,6141185,0.003904
3,61,6141219,0.003904
3,62,6139888,0.003904
3,63,6145027,0.003907
3,64,6143852,0.003906
3,65,6144593,0.003907
3,66,6145316,0.003907
3,67,6142818,0.003905
3,68,6147235,0.003908
3,69,6145324,0.003907
3,70,6146619,0.003908
3,71,6143501,0.003906
3,72,6143252,0.003906
3,73,6144855,0.003907
3,74,6140276,0.003904
3,75,6147332,0.003908
3,76,6140877,0.003904
3,77,6146414,0.003908
3,78,6140092,0.003904
3,79,6145227,0.003907
3,80,6143235,0.003906
3,81,6141266,0.003905
3,82,6141123,0.003904
3,83,6144281,0.003906
3,84,6142014,0.003905
3,85,6140813,0.003904
3,86,6144026,0.003906
3,87,6147783,0.003909
3,88,6144715,0.003907
3,89,6142820,0.003905
3,90,6141834,0.003905
3,91,6141867,0.003905
3,92,6142508,0.003905
3,93,6141468,0.003905
3,94,6142863,0.003906
3,95,6145382,0.003907
3,96,6142563,0.003905
3,97,6139912,0.003904
3,98,6143499,0.003906
3,99,6140762,0.003904
3,100,6148477,0.003909
3,101,6140048,0.003904
3,102,6145937,0.003907
3,103,6143477,0.003906
3,104,6138300,0.003903
3,105,6142916,0.003906
3,106,6142844,0.003906
3,107,6151306,0.003911
3,108,6144941,0.003907
3,109,6141133,0.003904
3,110,6144214,0.003906
3,111,6147033,0.003908
3,112,6144857,0.003907
3,113,6148920,0.003909
3,114,6143992,0.003906
3,115,6145267,0.003907
3,116,6143998,0.003906
3,117,6144104,0.003906
3,118,6142734,0.003905
3,119,6143594,0.003906
3,120,6141928,0.003905
3,121,6138707,0.003903
3,122,6140706,0.003904
3,123,6144964,0.003907
3,124,6145713,0.003907
3,125,6144630,0.003907
3,126,6142274,0.003905
3,127,6145731,0.003907
3,128,6145442,0.003907
3,129,6148526,0.003909
3,130,6142271,0.003905
3,131,6142143,0.003905
3,132,6148697,0.003909
3,133,6145221,0.003907
3,134,6148656,0.003909
3,135,6143425,0.003906
3,136,6143218,0.003906
3,137,6142562,0.003905
3,138,6144275,0.003906
3,139,6141288,0.003905
3,140,6144761,0.003907
3,141,6145518,0.003907
3,142,6147912,0.003909
3,143,6148940,0.003909
3,144,6141727,0.003905
3,145,6141777,0.003905
3,146,6138388,0.003903
3,147,6148619,0.003909
3,148,6139898,0.003904
3,149,6148533,0.003909
3,150,6144862,0.003907
3,151,6144501,0.003907
3,152,6144734,0.003907
3,153,6145705,0.003907
3,154,6139883,0.003904
3,155,6145666,0.003907
3,156,6146162,0.003908
3,157,6142168,0.003905
3,158,6146789,0.003908
3,159,6145487,0.003907
3,160,6145098,0.003907
3,161,6141800,0.003905
3,162,6144549,0.003907
3,163,6145627,0.003907
3,164,6141734,0.003905
3,165,6141021,0.003904
3,166,6143122,0.003906
3,167,6149338,0.003910
3,168,6145924,0.003907
3,169,6147119,0.003908
3,170,6144021,0.003906
3,171,6142319,0.003905
3,172,6142256,0.003905
3,173,6145247,0.003907
3,174,6146788,0.003908
3,175,6142106,0.003905
3,176,6145532,0.003907
3,177,6141269,0.003905
3,178,6144935,0.003907
3,179,6142771,0.003905
3,180,6143725,0.003906
3,181,6141250,0.003905
3,182,6144327,0.003906
3,183,6143075,0.003906
3,184,6142979,0.003906
3,185,6142667,0.003905
3,186,6139759,0.003904
3,187,6144230,0.003906
3,188,6143610,0.003906
3,189,6146504,0.003908
3,190,6141690,0.003905
3,191,6147845,0.003909
3,192,6147285,0.003908
3,193,6144418,0.003907
3,194,6144472,0.003907
3,195,6142690,0.003905
3,196,6143028,0.003906
3,197,6140920,0.003904
3,198,6145216,0.003907
3,199,6149003,0.003909
3,200,6146113,0.003908
3,201,6144582,0.003907
3,202,6138378,0.003903
3,203,6143673,0.003906
3,204,6144475,0.003907
3,205,6148093,0.003909
3,206,6143075,0.003906
3,207,6143793,0.003906
3,208,6145138,0.003907
3,209,6144487,0.003907
3,210,6141396,0.003905
3,211,6145128,0.003907
3,212,6144766,0.003907
3,213,6145518,0.003907
3,214,6143544,0.003906
3,215,6141895,0.003905
3,216,6141499,0.003905
3,217,6148716,0.003909
3,218,6146766,0.003908
3,219,6150337,0.003910
3,220,6144065,0.003906
3,221,6141266,0.003905
3,222,6142733,0.003905
3,223,6146349,0.003908
3,224,6142034,0.003905
3,225,6144894,0.003907
3,226,6148001,0.003909
3,227,6144766,0.003907
3,228,6141628,0.003905
3,229,6144503,0.003907
3,230,6145452,0.003907
3,231,6140270,0.003904
3,232,6141472,0.003905
3,233,6141408,0.003905
3,234,6146561,0.003908
3,235,6144305,0.003906
3,236,6143046,0.003906
3,237,6142946,0.003906
3,238,6142585,0.003905
3,239,6141678,0.003905
3,240,6150847,0.003911
3,241,6148344,0.003909
3,242,6144538,0.003907
3,243,6142085,0.003905
3,244,6145620,0.003907
3,245,6145388,0.003907
3,246,6143756,0.003906
3,247,6148314,0.003909
3,248,6144246,0.003906
3,249,6143209,0.003906
3,250,6141767,0.003905
3,251,6150068,0.003910
3,252,6144195,0.003906
3,253,6141814,0.003905
3,254,6144978,0.003907
3,255,6146812,0.003908
