0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,1049000000,8.000000,309.311278,127.490177,3.141985,-0.000027
2,Value,Occurrences,Fraction
3,0,4100879,0.003909
3,1,4104206,0.003912
3,2,4101081,0.003910
3,3,4102910,0.003911
3,4,4099883,0.003908
3,5,4099577,0.003908
3,6,4098163,0.003907
3,7,4098236,0.003907
3,8,4097376,0.003906
3,9,4101271,0.003910
3,10,4096175,0.003905
3,11,4102398,0.003911
3,12,4099949,0.003908
3,13,4098099,0.003907
3,14,4101152,0.003910
3,15,4099874,0.003908
3,16,4099123,0.003908
3,17,4098102,0.003907
3,18,4099337,0.003908
3,19,4097511,0.003906
3,20,4099957,0.003908
3,21,4096274,0.003905
3,22,4097178,0.003906
3,23,4094059,0.003903
3,24,4103472,0.003912
3,25,4098159,0.003907
3,26,4098779,0.003907
3,27,4098605,0.003907
3,28,4100331,0.003909
3,29,4096558,0.003905
3,30,4099088,0.003908
3,31,4102144,0.003911
3,32,4099250,0.003908
3,33,4097853,0.003906
3,34,4096828,0.003905
3,35,4100162,0.003909
3,36,4096605,0.003905
3,37,4095429,0.003904
3,38,4099884,0.003908
3,39,4097907,0.003906
3,40,4098970,0.003908
3,41,4098001,0.003907
3,42,4095060,0.003904
3,43,4099139,0.003908
3,44,4100558,0.003909
3,45,4095196,0.003904
3,46,4098474,0.003907
3,47,4097480,0.003906
3,48,4101006,0.003909
3,49,4097656,0.003906
3,50,4096476,0.003905
3,51,4098170,0.003907
3,52,4099539,0.003908
3,53,4094225,0.003903
3,54,4096313,0.003905
3,55,4098551,0.003907
3,56,4101579,0.003910
3,57,4098681,0.003907
3,58,4096786,0.003905
3,59,4100490,0.003909
3,60,4097584,0.003906
3,61,4097195,0.003906
3,62,4099176,0.003908
3,63,4096880,0.003906
3,64,4097776,0.003906
3,65,4097082,0.003906
3,66,4099993,0.003908
3,67,4099928,0.003908
3,68,4096039,0.003905
3,69,4098622,0.003907
3,70,4096614,0.003905
3,71,4096689,0.003905
3,72,4099471,0.003908
3,73,4094546,0.003903
3,74,4098046,0.003907
3,75,4093339,0.003902
3,76,4097455,0.003906
3,77,4095133,0.003904
3,78,4094436,0.003903
3,79,4097490,0.003906
3,80,4097688,0.003906
3,81,4093893,0.003903
3,82,4097076,0.003906
3,83,4094945,0.003904
3,84,4097120,0.003906
3,85,4097486,0.003906
3,86,4095506,0.003904
3,87,4098380,0.003907
3,88,4094424,0.003903
3,89,4097717,0.003906
3,90,4097132,0.003906
3,91,4096599,0.003905
3,92,4100454,0.003909
3,93,4094419,0.003903
3,94,4096088,0.003905
3,95,4099435,0.003908
3,96,4098465,0.003907
3,97,4098168,0.003907
3,98,4095749,0.003904
3,99,4097581,0.003906
3,100,4098649,0.003907
3,101,4099963,0.003908
3,102,4097641,0.003906
3,103,4098226,0.003907
3,104,4099570,0.003908
3,105,4100815,0.003909
3,106,4095331,0.003904
3,107,4096389,0.003905
3,108,4096626,0.003905
3,109,4094764,0.003903
3,110,4098947,0.003907
3,111,4096780,0.003905
3,112,4100056,0.003909
3,113,4096593,0.003905
3,114,4098260,0.003907
3,115,4097431,0.003906
3,116,4095501,0.003904
3,117,4093009,0.003902
3,118,4101047,0.003909
3,119,4095663,0.003904
3,120,4100272,0.003909
3,121,4096111,0.003905
3,122,4097552,0.003906
3,123,4095147,0.003904
3,124,4097693,0.003906
3,125,4100914,0.003909
3,126,4095809,0.003904
3,127,4097150,0.003906
3,128,4099800,0.003908
3,129,4100359,0.003909
3,130,4098329,0.003907
3,131,4098170,0.003907
3,132,4096775,0.003905
3,133,4100015,0.003908
3,134,4101546,0.003910
3,135,4100351,0.003909
3,136,4099618,0.003908
3,137,4097410,0.003906
3,138,4097665,0.003906
3,139,4096394,0.003905
3,140,4099098,0.003908
3,141,4097330,0.003906
3,142,4095244,0.003904
3,143,4101890,0.003910
3,144,4097579,0.003906
3,145,4096339,0.003905
3,146,4099527,0.003908
3,147,4094752,0.003903
3,148,4101110,0.003910
3,149,4092923,0.003902
3,150,4097763,0.003906
3,151,4095691,0.003904
3,152,4095133,0.003904
3,153,4097380,0.003906
3,154,4097689,0.003906
3,155,4097354,0.003906
3,156,4098519,0.003907
3,157,4096033,0.003905
3,158,4099471,0.003908
3,159,4097666,0.003906
3,160,4100237,0.003909
3,161,4100173,0.003909
3,162,4094850,0.003904
3,163,4099987,0.003908
3,164,4100250,0.003909
3,165,4095511,0.003904
3,166,4092428,0.003901
3,167,4094599,0.003903
3,168,4097992,0.003907
3,169,4096956,0.003906
3,170,4097413,0.003906
3,171,4094340,0.003903
3,172,4096138,0.003905
3,173,4092552,0.003901
3,174,4097419,0.003906
3,175,4092841,0.003902
3,176,4099278,0.003908
3,177,4096566,0.003905
3,178,4097931,0.003907
3,179,4094777,0.003904
3,180,4098134,0.003907
3,181,4097608,0.003906
3,182,4094928,0.003904
3,183,4095805,0.003904
3,184,4100755,0.003909
3,185,4096943,0.003906
3,186,4097372,0.003906
3,187,4095921,0.003905
3,188,4098662,0.003907
3,189,4094076,0.003903
3,190,4095594,0.003904
3,191,4099325,0.003908
3,192,4097209,0.003906
3,193,4101685,0.003910
3,194,4101548,0.003910
3,195,4102776,0.003911
3,196,4098405,0.003907
3,197,4101398,0.003910
3,198,4096834,0.003905
3,199,4098790,0.003907
3,200,4101190,0.003910
3,201,4097902,0.003906
3,202,4094757,0.003903
3,203,4096076,0.003905
3,204,4091843,0.003901
3,205,4098512,0.003907
3,206,4095868,0.003905
3,207,4094590,0.003903
3,208,4100215,0.003909
3,209,4095961,0.003905
3,210,4098640,0.003907
3,211,4095703,0.003904
3,212,4096356,0.003905
3,213,4094922,0.003904
3,214,4098226,0.003907
3,215,4095965,0.003905
3,216,4096440,0.003905
3,217,4094165,0.003903
3,218,4093330,0.003902
3,219,4094734,0.003903
3,220,4099503,0.003908
3,221,4099612,0.003908
3,222,4097237,0.003906
3,223,4096943,0.003906
3,224,4099429,0.003908
3,225,4098292,0.003907
3,226,4097779,0.003906
3,227,4100921,0.003909
3,228,4096854,0.003905
3,229,4096443,0.003905
3,230,4097438,0.003906
3,231,4095149,0.003904
3,232,4097482,0.003906
3,233,4098445,0.003907
3,234,4096118,0.003905
3,235,4096193,0.003905
3,236,4095860,0.003905
3,237,4095800,0.003904
3,238,4096596,0.003905
3,239,4098033,0.003907
3,240,4096409,0.003905
3,241,4095737,0.003904
3,242,4094515,0.003903
3,243,4099481,0.003908
3,244,4096948,0.003906
3,245,4095616,0.003904
3,246,4099949,0.003908
3,247,4096122,0.003905
3,248,4100682,0.003909
3,249,4096478,0.003905
3,250,4093942,0.003903
3,251,4097855,0.003906
3,252,4099221,0.003908
3,253,4094602,0.003903
3,254,4098448,0.003907
3,255,4097642,0.003906
