0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,464.645991,127.491239,3.141688,0.000008
2,Value,Occurrences,Fraction
3,0,8214463,0.003912
3,1,8213769,0.003911
3,2,8210035,0.003910
3,3,8208607,0.003909
3,4,8212863,0.003911
3,5,8203778,0.003907
3,6,8210148,0.003910
3,7,8206234,0.003908
3,8,8211255,0.003910
3,9,8203042,0.003906
3,10,8206122,0.003908
3,11,8206363,0.003908
3,12,8206485,0.003908
3,13,8200865,0.003905
3,14,8206623,0.003908
3,15,8209022,0.003909
3,16,8205244,0.003907
3,17,8207620,0.003908
3,18,8201100,0.003905
3,19,8204882,0.003907
3,20,8207063,0.003908
3,21,8202410,0.003906
3,22,8204155,0.003907
3,23,8205949,0.003908
3,24,8207014,0.003908
3,25,8205399,0.003907
3,26,8203486,0.003906
3,27,8204971,0.003907
3,28,8203081,0.003906
3,29,8202074,0.003906
3,30,8214211,0.003912
3,31,8205973,0.003908
3,32,8206445,0.003908
3,33,8205210,0.003907
3,34,8208226,0.003909
3,35,8206199,0.003908
3,36,8198401,0.003904
3,37,8197769,0.003904
3,38,8202431,0.003906
3,39,8207168,0.003908
3,40,8207242,0.003908
3,41,8206784,0.003908
3,42,8199928,0.003905
3,43,8196808,0.003903
3,44,8204477,0.003907
3,45,8204188,0.003907
3,46,8204408,0.003907
3,47,8201046,0.003905
3,48,8206892,0.003908
3,49,8206950,0.003908
3,50,8203736,0.003907
3,51,8205122,0.003907
3,52,8202543,0.003906
3,53,8201793,0.003906
3,54,8203320,0.003906
3,55,8201162,0.003905
3,56,8204074,0.003907
3,57,8206343,0.003908
3,58,8202754,0.003906
3,59,8197928,0.003904
3,60,8211200,0.003910
3,61,8205715,0.003907
3,62,8209764,0.003909
3,63,8211388,0.003910
3,64,8208462,0.003909
3,65,8209136,0.003909
3,66,8207377,0.003908
3,67,8206594,0.003908
3,68,8197329,0.003903
3,69,8201927,0.003906
3,70,8206025,0.003908
3,71,8203531,0.003906
3,72,8201601,0.003906
3,73,8200507,0.003905
3,74,8196980,0.003903
3,75,8197556,0.003904
3,76,8200167,0.003905
3,77,8200566,0.003905
3,78,8204016,0.003907
3,79,8201216,0.003905
3,80,8201878,0.003906
3,81,8201140,0.003905
3,82,8202262,0.003906
3,83,8203251,0.003906
3,84,8198101,0.003904
3,85,8196338,0.003903
3,86,8196689,0.003903
3,87,8199324,0.003904
3,88,8202810,0.003906
3,89,8201267,0.003905
3,90,8195881,0.003903
3,91,8200213,0.003905
3,92,8202922,0.003906
3,93,8206479,0.003908
3,94,8197285,0.003903
3,95,8204152,0.003907
3,96,8209241,0.003909
3,97,8202649,0.003906
3,98,8206996,0.003908
3,99,8200859,0.003905
3,100,8201196,0.003905
3,101,8200303,0.003905
3,102,8203421,0.003906
3,103,8206630,0.003908
3,104,8202324,0.003906
3,105,8199585,0.003905
3,106,8199209,0.003904
3,107,8198379,0.003904
3,108,8199935,0.003905
3,109,8198316,0.003904
3,110,8201055,0.003905
3,111,8204945,0.003907
3,112,8206996,0.003908
3,113,8204847,0.003907
3,114,8199550,0.003905
3,115,8201017,0.003905
3,116,8202864,0.003906
3,117,8205501,0.003907
3,118,8198296,0.003904
3,119,8200583,0.003905
3,120,8202310,0.003906
3,121,8206426,0.003908
3,122,8198326,0.003904
3,123,8197990,0.003904
3,124,8206768,0.003908
3,125,8205591,0.003907
3,126,8205157,0.003907
3,127,8202586,0.003906
3,128,8211937,0.003910
3,129,8205573,0.003907
3,130,8203544,0.003906
3,131,8207172,0.003908
3,132,8199781,0.003905
3,133,8201326,0.003905
3,134,8206204,0.003908
3,135,8208196,0.003909
3,136,8204512,0.003907
3,137,8199299,0.003904
3,138,8198587,0.003904
3,139,8205736,0.003907
3,140,8202915,0.003906
3,141,8200348,0.003905
3,142,8205770,0.003908
3,143,8206166,0.003908
3,144,8204562,0.003907
3,145,8204586,0.003907
3,146,8205150,0.003907
3,147,8199207,0.003904
3,148,8198387,0.003904
3,149,8200687,0.003905
3,150,8203840,0.003907
3,151,8201960,0.003906
3,152,8203923,0.003907
3,153,8204703,0.003907
3,154,8202569,0.003906
3,155,8202438,0.003906
3,156,8204011,0.003907
3,157,8200802,0.003905
3,158,8202688,0.003906
3,159,8208176,0.003909
3,160,8202777,0.003906
3,161,8203448,0.003906
3,162,8198812,0.003904
3,163,8201011,0.003905
3,164,8201684,0.003906
3,165,8201579,0.003906
3,166,8202505,0.003906
3,167,8200778,0.003905
3,168,8205112,0.003907
3,169,8192474,0.003901
3,170,8196563,0.003903
3,171,8195676,0.003903
3,172,8203654,0.003907
3,173,8197426,0.003904
3,174,8195698,0.003903
3,175,8195460,0.003903
3,176,8202054,0.003906
3,177,8203619,0.003906
3,178,8197985,0.003904
3,179,8201022,0.003905
3,180,8202360,0.003906
3,181,8198706,0.003904
3,182,8198303,0.003904
3,183,8202309,0.003906
3,184,8200545,0.003905
3,185,8200530,0.003905
3,186,8198599,0.003904
3,187,8197173,0.003903
3,188,8204109,0.003907
3,189,8196303,0.003903
3,190,8199207,0.003904
3,191,8202381,0.003906
3,192,8204433,0.003907
3,193,8205330,0.003907
3,194,8202310,0.003906
3,195,8209361,0.003909
3,196,8200359,0.003905
3,197,8201827,0.003906
3,198,8201218,0.003905
3,199,8202650,0.003906
3,200,8202154,0.003906
3,201,8197428,0.003904
3,202,8199826,0.003905
3,203,8205103,0.003907
3,204,8209865,0.003909
3,205,8202298,0.003906
3,206,8200965,0.003905
3,207,8198985,0.003904
3,208,8205229,0.003907
3,209,8204594,0.003907
3,210,8205915,0.003908
3,211,8204711,0.003907
3,212,8199846,0.003905
3,213,8199829,0.003905
3,214,8197655,0.003904
3,215,8201400,0.003905
3,216,8208549,0.003909
3,217,8198513,0.003904
3,218,8197875,0.003904
3,219,8199667,0.003905
3,220,8198286,0.003904
3,221,8202248,0.003906
3,222,8207480,0.003908
3,223,8203664,0.003907
3,224,8212343,0.003911
3,225,8210160,0.003910
3,226,8203243,0.003906
3,227,8208563,0.003909
3,228,8201459,0.003905
3,229,8200208,0.003905
3,230,8202465,0.003906
3,231,8204592,0.003907
3,232,8207634,0.003908
3,233,8202388,0.003906
3,234,8198834,0.003904
3,235,8201987,0.003906
3,236,8199573,0.003905
3,237,8201977,0.003906
3,238,8203433,0.003906
3,239,8202793,0.003906
3,240,8205818,0.003908
3,241,8205334,0.003907
3,242,8201697,0.003906
3,243,8207958,0.003909
3,244,8205504,0.003907
3,245,8196902,0.003903
3,246,8197512,0.003904
3,247,8202027,0.003906
3,248,8203975,0.003907
3,249,8204304,0.003907
3,250,8202869,0.003906
3,251,8205555,0.003907
3,252,8209233,0.003909
3,253,8202350,0.003906
3,254,8202390,0.003906
3,255,8206177,0.003908
