0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2110000000,8.000000,536.417905,127.491618,3.141680,-0.000001
2,Value,Occurrences,Fraction
3,0,8253149,0.003911
3,1,8251996,0.003911
3,2,8250864,0.003910
3,3,8250693,0.003910
3,4,8249024,0.003909
3,5,8242151,0.003906
3,6,8246455,0.003908
3,7,8253723,0.003912
3,8,8247845,0.003909
3,9,8243335,0.003907
3,10,8240152,0.003905
3,11,8243682,0.003907
3,12,8247601,0.003909
3,13,8246828,0.003908
3,14,8246766,0.003908
3,15,8241292,0.003906
3,16,8243214,0.003907
3,17,8243390,0.003907
3,18,8244026,0.003907
3,19,8243593,0.003907
3,20,8242196,0.003906
3,21,8241984,0.003906
3,22,8245170,0.003908
3,23,8238900,0.003905
3,24,8250275,0.003910
3,25,8247091,0.003909
3,26,8243345,0.003907
3,27,8245119,0.003908
3,28,8242807,0.003907
3,29,8245212,0.003908
3,30,8242656,0.003906
3,31,8244475,0.003907
3,32,8243040,0.003907
3,33,8249037,0.003909
3,34,8240463,0.003905
3,35,8241532,0.003906
3,36,8242360,0.003906
3,37,8245112,0.003908
3,38,8243881,0.003907
3,39,8241489,0.003906
3,40,8243892,0.003907
3,41,8238988,0.003905
3,42,8238362,0.003904
3,43,8243638,0.003907
3,44,8246283,0.003908
3,45,8234217,0.003902
3,46,8236892,0.003904
3,47,8244591,0.003907
3,48,8246764,0.003908
3,49,8240737,0.003906
3,50,8242693,0.003906
3,51,8243090,0.003907
3,52,8244502,0.003907
3,53,8238924,0.003905
3,54,8241652,0.003906
3,55,8242601,0.003906
3,56,8245158,0.003908
3,57,8245175,0.003908
3,58,8240366,0.003905
3,59,8240187,0.003905
3,60,8242457,0.003906
3,61,8241533,0.003906
3,62,8242302,0.003906
3,63,8244035,0.003907
3,64,8251905,0.003911
3,65,8251152,0.003910
3,66,8241175,0.003906
3,67,8245523,0.003908
3,68,8243908,0.003907
3,69,8239609,0.003905
3,70,8246130,0.003908
3,71,8244022,0.003907
3,72,8248278,0.003909
3,73,8241785,0.003906
3,74,8237373,0.003904
3,75,8239884,0.003905
3,76,8238094,0.003904
3,77,8239956,0.003905
3,78,8236943,0.003904
3,79,8238992,0.003905
3,80,8240054,0.003905
3,81,8244709,0.003907
3,82,8230012,0.003900
3,83,8241005,0.003906
3,84,8234515,0.003903
3,85,8234263,0.003902
3,86,8240134,0.003905
3,87,8237183,0.003904
3,88,8245410,0.003908
3,89,8243420,0.003907
3,90,8236686,0.003904
3,91,8234329,0.003903
3,92,8238706,0.003905
3,93,8238793,0.003905
3,94,8238359,0.003904
3,95,8243229,0.003907
3,96,8247903,0.003909
3,97,8245030,0.003908
3,98,8239680,0.003905
3,99,8245740,0.003908
3,100,8242043,0.003906
3,101,8244989,0.003908
3,102,8244424,0.003907
3,103,8242353,0.003906
3,104,8242964,0.003907
3,105,8246063,0.003908
3,106,8237166,0.003904
3,107,8242580,0.003906
3,108,8247317,0.003909
3,109,8236233,0.003903
3,110,8243990,0.003907
3,111,8239298,0.003905
3,112,8242608,0.003906
3,113,8241663,0.003906
3,114,8242279,0.003906
3,115,8245396,0.003908
3,116,8239195,0.003905
3,117,8237508,0.003904
3,118,8240258,0.003905
3,119,8239826,0.003905
3,120,8243880,0.003907
3,121,8241123,0.003906
3,122,8237629,0.003904
3,123,8245713,0.003908
3,124,8244118,0.003907
3,125,8243265,0.003907
3,126,8246073,0.003908
3,127,8244268,0.003907
3,128,8254693,0.003912
3,129,8242293,0.003906
3,130,8249487,0.003910
3,131,8245653,0.003908
3,132,8236615,0.003904
3,133,8247846,0.003909
3,134,8250552,0.003910
3,135,8248908,0.003909
3,136,8246040,0.003908
3,137,8247625,0.003909
3,138,8243643,0.003907
3,139,8245798,0.003908
3,140,8240745,0.003906
3,141,8240986,0.003906
3,142,8241801,0.003906
3,143,8244718,0.003907
3,144,8243123,0.003907
3,145,8240473,0.003905
3,146,8238605,0.003905
3,147,8242288,0.003906
3,148,8239577,0.003905
3,149,8234662,0.003903
3,150,8238129,0.003904
3,151,8239103,0.003905
3,152,8244346,0.003907
3,153,8238110,0.003904
3,154,8238398,0.003904
3,155,8236576,0.003904
3,156,8250177,0.003910
3,157,8243092,0.003907
3,158,8242678,0.003906
3,159,8240035,0.003905
3,160,8244598,0.003907
3,161,8241336,0.003906
3,162,8240074,0.003905
3,163,8242120,0.003906
3,164,8242542,0.003906
3,165,8238359,0.003904
3,166,8239781,0.003905
3,167,8241415,0.003906
3,168,8239536,0.003905
3,169,8234640,0.003903
3,170,8238388,0.003904
3,171,8232645,0.003902
3,172,8241221,0.003906
3,173,8234854,0.003903
3,174,8237896,0.003904
3,175,8234974,0.003903
3,176,8241075,0.003906
3,177,8241489,0.003906
3,178,8237228,0.003904
3,179,8240568,0.003905
3,180,8243578,0.003907
3,181,8235233,0.003903
3,182,8236538,0.003904
3,183,8235896,0.003903
3,184,8245476,0.003908
3,185,8236262,0.003903
3,186,8232973,0.003902
3,187,8234546,0.003903
3,188,8240118,0.003905
3,189,8238736,0.003905
3,190,8241573,0.003906
3,191,8241779,0.003906
3,192,8249909,0.003910
3,193,8244950,0.003908
3,194,8241713,0.003906
3,195,8241190,0.003906
3,196,8243719,0.003907
3,197,8240042,0.003905
3,198,8244385,0.003907
3,199,8243718,0.003907
3,200,8242219,0.003906
3,201,8240331,0.003905
3,202,8238588,0.003905
3,203,8242565,0.003906
3,204,8245278,0.003908
3,205,8238046,0.003904
3,206,8241911,0.003906
3,207,8240530,0.003905
3,208,8241994,0.003906
3,209,8238698,0.003905
3,210,8238711,0.003905
3,211,8238475,0.003904
3,212,8240164,0.003905
3,213,8239436,0.003905
3,214,8238606,0.003905
3,215,8235535,0.003903
3,216,8244453,0.003907
3,217,8240294,0.003905
3,218,8241310,0.003906
3,219,8239745,0.003905
3,220,8238755,0.003905
3,221,8236725,0.003904
3,222,8234964,0.003903
3,223,8246833,0.003908
3,224,8248619,0.003909
3,225,8249306,0.003910
3,226,8241423,0.003906
3,227,8246620,0.003908
3,228,8242080,0.003906
3,229,8244197,0.003907
3,230,8240636,0.003906
3,231,8246120,0.003908
3,232,8244201,0.003907
3,233,8242414,0.003906
3,234,8238862,0.003905
3,235,8237490,0.003904
3,236,8240799,0.003906
3,237,8236491,0.003904
3,238,8239606,0.003905
3,239,8241601,0.003906
