0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,525000000,8.000000,318.868733,127.493468,3.141386,0.000004
2,Value,Occurrences,Fraction
3,0,2054006,0.003912
3,1,2052287,0.003909
3,2,2053046,0.003911
3,3,2050972,0.003907
3,4,2051731,0.003908
3,5,2052564,0.003910
3,6,2051423,0.003907
3,7,2051612,0.003908
3,8,2052303,0.003909
3,9,2052093,0.003909
3,10,2051533,0.003908
3,11,2051535,0.003908
3,12,2051669,0.003908
3,13,2049340,0.003904
3,14,2051638,0.003908
3,15,2051863,0.003908
3,16,2052827,0.003910
3,17,2051378,0.003907
3,18,2053928,0.003912
3,19,2051337,0.003907
3,20,2051452,0.003908
3,21,2050459,0.003906
3,22,2052735,0.003910
3,23,2050469,0.003906
3,24,2051181,0.003907
3,25,2048857,0.003903
3,26,2051491,0.003908
3,27,2050501,0.003906
3,28,2049751,0.003904
3,29,2049467,0.003904
3,30,2050659,0.003906
3,31,2051820,0.003908
3,32,2047964,0.003901
3,33,2050197,0.003905
3,34,2051125,0.003907
3,35,2052796,0.003910
3,36,2050369,0.003905
3,37,2048049,0.003901
3,38,2051955,0.003908
3,39,2050163,0.003905
3,40,2050722,0.003906
3,41,2049632,0.003904
3,42,2050367,0.003905
3,43,2051610,0.003908
3,44,2052908,0.003910
3,45,2052347,0.003909
3,46,2051976,0.003909
3,47,2049436,0.003904
3,48,2052772,0.003910
3,49,2052545,0.003910
3,50,2049911,0.003905
3,51,2053440,0.003911
3,52,2053295,0.003911
3,53,2051428,0.003907
3,54,2050460,0.003906
3,55,2046409,0.003898
3,56,2051396,0.003907
3,57,2050929,0.003907
3,58,2050684,0.003906
3,59,2050660,0.003906
3,60,2053627,0.003912
3,61,2050344,0.003905
3,62,2050616,0.003906
3,63,2051467,0.003908
3,64,2052616,0.003910
3,65,2050691,0.003906
3,66,2049568,0.003904
3,67,2047622,0.003900
3,68,2050695,0.003906
3,69,2052578,0.003910
3,70,2049808,0.003904
3,71,2051525,0.003908
3,72,2049482,0.003904
3,73,2052852,0.003910
3,74,2050923,0.003907
3,75,2051318,0.003907
3,76,2051019,0.003907
3,77,2051032,0.003907
3,78,2049700,0.003904
3,79,2048316,0.003902
3,80,2051711,0.003908
3,81,2050377,0.003905
3,82,2051263,0.003907
3,83,2049187,0.003903
3,84,2047880,0.003901
3,85,2050399,0.003906
3,86,2046862,0.003899
3,87,2050194,0.003905
3,88,2050418,0.003906
3,89,2049179,0.003903
3,90,2049865,0.003905
3,91,2050505,0.003906
3,92,2050809,0.003906
3,93,2049688,0.003904
3,94,2050358,0.003905
3,95,2047923,0.003901
3,96,2051764,0.003908
3,97,2050584,0.003906
3,98,2052108,0.003909
3,99,2051773,0.003908
3,100,2047694,0.003900
3,101,2048586,0.003902
3,102,2051736,0.003908
3,103,2048354,0.003902
3,104,2051903,0.003908
3,105,2049699,0.003904
3,106,2052443,0.003909
3,107,2052392,0.003909
3,108,2050047,0.003905
3,109,2047876,0.003901
3,110,2052954,0.003910
3,111,2051680,0.003908
3,112,2051054,0.003907
