Cannot open file /media/darren/RNGdata/TRNGData/c
0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,262.410554,127.499296,3.141649,0.000009
2,Value,Occurrences,Fraction
3,0,8204890,0.003907
3,1,8207045,0.003908
3,2,8200258,0.003905
3,3,8207459,0.003908
3,4,8203751,0.003907
3,5,8209230,0.003909
3,6,8207067,0.003908
3,7,8200041,0.003905
3,8,8201274,0.003905
3,9,8198301,0.003904
3,10,8207948,0.003909
3,11,8201189,0.003905
3,12,8202174,0.003906
3,13,8203201,0.003906
3,14,8205175,0.003907
3,15,8205570,0.003907
3,16,8202695,0.003906
3,17,8201887,0.003906
3,18,8198538,0.003904
3,19,8203622,0.003906
3,20,8203467,0.003906
3,21,8197582,0.003904
3,22,8204408,0.003907
3,23,8206176,0.003908
3,24,8199805,0.003905
3,25,8198870,0.003904
3,26,8205059,0.003907
3,27,8202366,0.003906
3,28,8201080,0.003905
3,29,8202105,0.003906
3,30,8203180,0.003906
3,31,8198409,0.003904
3,32,8202647,0.003906
3,33,8201420,0.003905
3,34,8204889,0.003907
3,35,8201002,0.003905
3,36,8199591,0.003905
3,37,8201660,0.003906
3,38,8202073,0.003906
3,39,8205519,0.003907
3,40,8199252,0.003904
3,41,8201475,0.003905
3,42,8209306,0.003909
3,43,8193864,0.003902
3,44,8207745,0.003908
3,45,8206276,0.003908
3,46,8205365,0.003907
3,47,8202735,0.003906
3,48,8202039,0.003906
3,49,8205674,0.003907
3,50,8200248,0.003905
3,51,8204307,0.003907
3,52,8203077,0.003906
3,53,8201075,0.003905
3,54,8205077,0.003907
3,55,8202755,0.003906
3,56,8201066,0.003905
3,57,8199686,0.003905
3,58,8206680,0.003908
3,59,8204318,0.003907
3,60,8206620,0.003908
3,61,8205828,0.003908
3,62,8203053,0.003906
3,63,8197680,0.003904
3,64,8201122,0.003905
3,65,8202031,0.003906
3,66,8205314,0.003907
3,67,8210905,0.003910
3,68,8206212,0.003908
3,69,8202261,0.003906
3,70,8202527,0.003906
3,71,8201790,0.003906
3,72,8207427,0.003908
3,73,8205658,0.003907
3,74,8211057,0.003910
3,75,8201746,0.003906
3,76,8201083,0.003905
3,77,8201807,0.003906
3,78,8203601,0.003906
3,79,8195509,0.003903
3,80,8204160,0.003907
3,81,8206002,0.003908
3,82,8204029,0.003907
3,83,8203415,0.003906
3,84,8205039,0.003907
3,85,8202649,0.003906
3,86,8206268,0.003908
3,87,8202517,0.003906
3,88,8206674,0.003908
3,89,8197919,0.003904
3,90,8200222,0.003905
3,91,8204005,0.003907
3,92,8203182,0.003906
3,93,8201513,0.003905
3,94,8200886,0.003905
