0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2147483648,8.000000,250.104203,127.499311,3.141615,-0.000019622509458
2,Value,Occurrences,Fraction
3,0,8388138,0.003906
3,1,8390399,0.003907
3,2,8390068,0.003907
3,3,8390765,0.003907
3,4,8390240,0.003907
3,5,8388389,0.003906
3,6,8384185,0.003904
3,7,8387579,0.003906
3,8,8386704,0.003905
3,9,8388461,0.003906
3,10,8390180,0.003907
3,11,8386996,0.003905
3,12,8390654,0.003907
3,13,8384285,0.003904
3,14,8384938,0.003905
3,15,8389563,0.003907
3,16,8388360,0.003906
3,17,8384276,0.003904
3,18,8388331,0.003906
3,19,8388703,0.003906
3,20,8390027,0.003907
3,21,8391204,0.003907
3,22,8394171,0.003909
3,23,8399595,0.003911
3,24,8390227,0.003907
3,25,8387224,0.003906
3,26,8383649,0.003904
3,27,8390362,0.003907
3,28,8385166,0.003905
3,29,8388636,0.003906
3,30,8389558,0.003907
3,31,8390442,0.003907
3,32,8391871,0.003908
3,33,8386909,0.003905
3,34,8392056,0.003908
3,35,8389610,0.003907
3,36,8386138,0.003905
3,37,8389726,0.003907
3,38,8388063,0.003906
3,39,8390890,0.003907
3,40,8386103,0.003905
3,41,8392461,0.003908
3,42,8391416,0.003908
3,43,8391474,0.003908
3,44,8388192,0.003906
3,45,8388985,0.003906
3,46,8388667,0.003906
3,47,8392401,0.003908
3,48,8389000,0.003906
3,49,8389084,0.003906
3,50,8385867,0.003905
3,51,8388420,0.003906
3,52,8386016,0.003905
3,53,8387015,0.003906
3,54,8390069,0.003907
3,55,8394597,0.003909
3,56,8386865,0.003905
3,57,8388811,0.003906
3,58,8394703,0.003909
3,59,8388212,0.003906
3,60,8382713,0.003904
3,61,8384671,0.003904
3,62,8385493,0.003905
3,63,8390581,0.003907
3,64,8388848,0.003906
3,65,8385888,0.003905
3,66,8389387,0.003907
3,67,8390417,0.003907
3,68,8389733,0.003907
3,69,8386665,0.003905
3,70,8388875,0.003906
3,71,8391731,0.003908
3,72,8389917,0.003907
3,73,8387523,0.003906
3,74,8392965,0.003908
3,75,8390568,0.003907
3,76,8388500,0.003906
3,77,8386620,0.003905
3,78,8392094,0.003908
3,79,8386898,0.003905
3,80,8386822,0.003905
3,81,8389779,0.003907
3,82,8388141,0.003906
3,83,8386111,0.003905
3,84,8387410,0.003906
3,85,8386789,0.003905
3,86,8395135,0.003909
3,87,8394219,0.003909
3,88,8384006,0.003904
3,89,8390024,0.003907
3,90,8391108,0.003907
3,91,8382512,0.003903
