0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2147483648,8.000000,267.628284,127.497786,3.141612,0.000014272557426
2,Value,Occurrences,Fraction
3,0,8387748,0.003906
3,1,8388329,0.003906
3,2,8388387,0.003906
3,3,8387094,0.003906
3,4,8386946,0.003905
3,5,8387595,0.003906
3,6,8387964,0.003906
3,7,8395316,0.003909
3,8,8386889,0.003905
3,9,8382860,0.003904
3,10,8391651,0.003908
3,11,8390582,0.003907
3,12,8384744,0.003904
3,13,8393400,0.003908
3,14,8392524,0.003908
3,15,8396080,0.003910
3,16,8388301,0.003906
3,17,8392592,0.003908
3,18,8391712,0.003908
3,19,8388097,0.003906
3,20,8390425,0.003907
3,21,8386849,0.003905
3,22,8386694,0.003905
3,23,8383845,0.003904
3,24,8389072,0.003906
3,25,8389063,0.003906
3,26,8393147,0.003908
3,27,8388052,0.003906
3,28,8388462,0.003906
3,29,8391534,0.003908
3,30,8385312,0.003905
3,31,8392981,0.003908
3,32,8394965,0.003909
3,33,8382172,0.003903
3,34,8388094,0.003906
3,35,8389915,0.003907
3,36,8392189,0.003908
3,37,8386956,0.003905
3,38,8391718,0.003908
3,39,8387545,0.003906
3,40,8384449,0.003904
3,41,8390455,0.003907
3,42,8389000,0.003906
3,43,8388522,0.003906
3,44,8392606,0.003908
3,45,8384103,0.003904
3,46,8389016,0.003906
3,47,8386360,0.003905
3,48,8390120,0.003907
3,49,8385406,0.003905
3,50,8388005,0.003906
3,51,8388258,0.003906
3,52,8392648,0.003908
3,53,8386876,0.003905
3,54,8388430,0.003906
3,55,8393294,0.003908
3,56,8386777,0.003905
3,57,8386180,0.003905
3,58,8387528,0.003906
3,59,8391497,0.003908
3,60,8386962,0.003905
3,61,8386286,0.003905
3,62,8390050,0.003907
3,63,8391729,0.003908
3,64,8390260,0.003907
3,65,8388472,0.003906
3,66,8392024,0.003908
3,67,8387848,0.003906
3,68,8383415,0.003904
3,69,8394319,0.003909
3,70,8390692,0.003907
3,71,8391642,0.003908
3,72,8390678,0.003907
3,73,8385667,0.003905
3,74,8392712,0.003908
3,75,8391459,0.003908
3,76,8390407,0.003907
3,77,8384338,0.003904
3,78,8387669,0.003906
3,79,8392104,0.003908
3,80,8388437,0.003906
3,81,8386571,0.003905
3,82,8389422,0.003907
3,83,8385706,0.003905
3,84,8383470,0.003904
3,85,8389973,0.003907
3,86,8389351,0.003907
3,87,8384788,0.003904
3,88,8389895,0.003907
3,89,8385288,0.003905
3,90,8386492,0.003905
3,91,8386764,0.003905
3,92,8390488,0.003907
3,93,8387593,0.003906
3,94,8388984,0.003906
3,95,8389400,0.003907
3,96,8393863,0.003909
3,97,8391390,0.003908
3,98,8390142,0.003907
3,99,8386199,0.003905
3,100,8386927,0.003905
3,101,8388468,0.003906
3,102,8388800,0.003906
3,103,8389561,0.003907
3,104,8384779,0.003904
3,105,8386413,0.003905
3,106,8384522,0.003904
3,107,8395190,0.003909
3,108,8391715,0.003908
3,109,8386446,0.003905
3,110,8391771,0.003908
3,111,8386564,0.003905
3,112,8393557,0.003909
3,113,8381767,0.003903
3,114,8391384,0.003908
3,115,8386226,0.003905
3,116,8391782,0.003908
3,117,8389496,0.003907
3,118,8393539,0.003909
3,119,8388743,0.003906
3,120,8384593,0.003904
3,121,8389464,0.003907
3,122,8392614,0.003908
3,123,8381838,0.003903
3,124,8390285,0.003907
3,125,8391157,0.003907
3,126,8386926,0.003905
3,127,8387579,0.003906
3,128,8387101,0.003906
3,129,8384491,0.003904
3,130,8384953,0.003905
3,131,8392893,0.003908
3,132,8384154,0.003904
3,133,8386701,0.003905
3,134,8391793,0.003908
3,135,8385701,0.003905
3,136,8382826,0.003904
3,137,8391165,0.003907
3,138,8387613,0.003906
3,139,8385177,0.003905
3,140,8391304,0.003908
3,141,8389006,0.003906
3,142,8388256,0.003906
3,143,8390223,0.003907
3,144,8390681,0.003907
3,145,8392454,0.003908
3,146,8385463,0.003905
3,147,8389016,0.003906
3,148,8388499,0.003906
3,149,8391425,0.003908
3,150,8391603,0.003908
3,151,8393582,0.003909
3,152,8386238,0.003905
3,153,8389235,0.003907
3,154,8395227,0.003909
3,155,8388142,0.003906
3,156,8391473,0.003908
3,157,8386097,0.003905
3,158,8387907,0.003906
3,159,8393308,0.003908
3,160,8388725,0.003906
3,161,8387700,0.003906
3,162,8386982,0.003905
3,163,8383954,0.003904
3,164,8388789,0.003906
3,165,8389278,0.003907
3,166,8389150,0.003907
3,167,8385105,0.003905
3,168,8392197,0.003908
3,169,8385881,0.003905
3,170,8390272,0.003907
3,171,8388276,0.003906
3,172,8393811,0.003909
3,173,8392840,0.003908
3,174,8387521,0.003906
3,175,8388096,0.003906
3,176,8387667,0.003906
3,177,8385233,0.003905
3,178,8391414,0.003908
3,179,8385684,0.003905
3,180,8386331,0.003905
3,181,8387156,0.003906
3,182,8390294,0.003907
3,183,8387912,0.003906
3,184,8382100,0.003903
3,185,8385065,0.003905
3,186,8389972,0.003907
3,187,8385946,0.003905
3,188,8386354,0.003905
3,189,8392540,0.003908
3,190,8390618,0.003907
3,191,8387268,0.003906
3,192,8387125,0.003906
3,193,8388240,0.003906
3,194,8386649,0.003905
3,195,8391636,0.003908
3,196,8385168,0.003905
3,197,8386717,0.003905
3,198,8388674,0.003906
3,199,8391959,0.003908
3,200,8388535,0.003906
3,201,8381377,0.003903
3,202,8388328,0.003906
3,203,8390397,0.003907
3,204,8390484,0.003907
3,205,8386921,0.003905
3,206,8380488,0.003902
3,207,8389978,0.003907
3,208,8388419,0.003906
3,209,8387638,0.003906
3,210,8387859,0.003906
3,211,8387435,0.003906
3,212,8385165,0.003905
3,213,8384951,0.003905
3,214,8386699,0.003905
3,215,8386921,0.003905
3,216,8387705,0.003906
3,217,8390663,0.003907
3,218,8383221,0.003904
3,219,8391525,0.003908
3,220,8389408,0.003907
3,221,8387372,0.003906
3,222,8388112,0.003906
3,223,8392312,0.003908
3,224,8390275,0.003907
3,225,8387773,0.003906
3,226,8389656,0.003907
3,227,8391893,0.003908
3,228,8386995,0.003905
3,229,8388010,0.003906
3,230,8393617,0.003909
3,231,8390854,0.003907
3,232,8385348,0.003905
3,233,8388242,0.003906
3,234,8387167,0.003906
3,235,8389416,0.003907
3,236,8387838,0.003906
3,237,8388876,0.003906
3,238,8388645,0.003906
3,239,8388556,0.003906
3,240,8387002,0.003906
3,241,8390979,0.003907
3,242,8387965,0.003906
3,243,8386327,0.003905
3,244,8394806,0.003909
3,245,8388153,0.003906
3,246,8383232,0.003904
3,247,8389163,0.003907
3,248,8391565,0.003908
3,249,8386035,0.003905
3,250,8392018,0.003908
3,251,8384840,0.003904
3,252,8388458,0.003906
3,253,8391898,0.003908
3,254,8383590,0.003904
3,255,8390151,0.003907
