0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,471.682271,127.492397,3.141608,-0.000002
2,Value,Occurrences,Fraction
3,0,8212497,0.003911
3,1,8210986,0.003910
3,2,8210841,0.003910
3,3,8208609,0.003909
3,4,8206345,0.003908
3,5,8213281,0.003911
3,6,8209607,0.003909
3,7,8208114,0.003909
3,8,8205609,0.003907
3,9,8205194,0.003907
3,10,8198415,0.003904
3,11,8202496,0.003906
3,12,8207281,0.003908
3,13,8203552,0.003906
3,14,8209989,0.003910
3,15,8206938,0.003908
3,16,8209400,0.003909
3,17,8205832,0.003908
3,18,8206549,0.003908
3,19,8206402,0.003908
3,20,8206209,0.003908
3,21,8198740,0.003904
3,22,8204502,0.003907
3,23,8204816,0.003907
3,24,8211573,0.003910
3,25,8207301,0.003908
3,26,8203019,0.003906
3,27,8202108,0.003906
3,28,8213565,0.003911
3,29,8205090,0.003907
3,30,8211830,0.003910
3,31,8201224,0.003905
3,32,8206151,0.003908
3,33,8207292,0.003908
3,34,8205629,0.003907
3,35,8201423,0.003905
3,36,8205183,0.003907
3,37,8196229,0.003903
3,38,8204684,0.003907
3,39,8205175,0.003907
3,40,8204398,0.003907
3,41,8200949,0.003905
3,42,8198710,0.003904
3,43,8202396,0.003906
3,44,8200867,0.003905
3,45,8201271,0.003905
3,46,8201995,0.003906
3,47,8200451,0.003905
3,48,8204534,0.003907
3,49,8205053,0.003907
3,50,8200730,0.003905
3,51,8204727,0.003907
3,52,8205006,0.003907
3,53,8197166,0.003903
3,54,8201718,0.003906
3,55,8204764,0.003907
3,56,8208272,0.003909
3,57,8202009,0.003906
3,58,8197289,0.003903
3,59,8202221,0.003906
3,60,8204628,0.003907
3,61,8205541,0.003907
3,62,8205538,0.003907
3,63,8206621,0.003908
3,64,8207227,0.003908
3,65,8207811,0.003908
3,66,8200632,0.003905
3,67,8205634,0.003907
3,68,8208117,0.003909
3,69,8200938,0.003905
3,70,8205903,0.003908
3,71,8202481,0.003906
3,72,8202400,0.003906
3,73,8203334,0.003906
3,74,8197636,0.003904
3,75,8198150,0.003904
