0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2100000000,8.000000,466.929684,127.495567,3.141517,0.000028
2,Value,Occurrences,Fraction
3,0,8204422,0.003907
3,1,8211800,0.003910
3,2,8205540,0.003907
3,3,8210091,0.003910
3,4,8204586,0.003907
3,5,8204406,0.003907
3,6,8206272,0.003908
3,7,8203947,0.003907
3,8,8210133,0.003910
3,9,8207162,0.003908
3,10,8205317,0.003907
3,11,8204350,0.003907
3,12,8207172,0.003908
3,13,8203561,0.003906
3,14,8203988,0.003907
3,15,8206310,0.003908
3,16,8206269,0.003908
3,17,8206023,0.003908
3,18,8207546,0.003908
3,19,8207374,0.003908
3,20,8208734,0.003909
3,21,8198414,0.003904
3,22,8207181,0.003908
3,23,8204338,0.003907
3,24,8206865,0.003908
3,25,8202703,0.003906
3,26,8201115,0.003905
3,27,8205070,0.003907
3,28,8204787,0.003907
3,29,8206253,0.003908
3,30,8209108,0.003909
3,31,8207192,0.003908
3,32,8208777,0.003909
3,33,8209781,0.003909
3,34,8206754,0.003908
3,35,8200603,0.003905
3,36,8207202,0.003908
3,37,8197871,0.003904
3,38,8208359,0.003909
3,39,8203077,0.003906
3,40,8203415,0.003906
3,41,8198647,0.003904
3,42,8199414,0.003904
3,43,8202722,0.003906
3,44,8204199,0.003907
3,45,8201046,0.003905
3,46,8201975,0.003906
3,47,8206453,0.003908
3,48,8210649,0.003910
3,49,8209200,0.003909
3,50,8202389,0.003906
3,51,8204914,0.003907
3,52,8203721,0.003907
3,53,8200645,0.003905
3,54,8196381,0.003903
3,55,8209815,0.003909
3,56,8207603,0.003908
3,57,8207841,0.003908
3,58,8203598,0.003906
3,59,8202098,0.003906
3,60,8206503,0.003908
3,61,8203523,0.003906
3,62,8202971,0.003906
3,63,8202012,0.003906
3,64,8210422,0.003910
3,65,8203361,0.003906
3,66,8202740,0.003906
3,67,8201506,0.003905
3,68,8202680,0.003906
3,69,8200797,0.003905
3,70,8201305,0.003905
3,71,8203745,0.003907
3,72,8199673,0.003905
3,73,8204480,0.003907
3,74,8200026,0.003905
3,75,8195268,0.003903
3,76,8202080,0.003906
3,77,8200256,0.003905
3,78,8197261,0.003903
3,79,8202937,0.003906
3,80,8202498,0.003906
3,81,8198699,0.003904
3,82,8197855,0.003904
3,83,8198787,0.003904
3,84,8203083,0.003906
3,85,8194061,0.003902
3,86,8193542,0.003902
3,87,8196010,0.003903
3,88,8201569,0.003906
3,89,8199453,0.003905
3,90,8203831,0.003907
3,91,8200221,0.003905
3,92,8202737,0.003906
3,93,8197420,0.003904
3,94,8200131,0.003905
3,95,8199792,0.003905
3,96,8206156,0.003908
3,97,8206722,0.003908
3,98,8203472,0.003906
3,99,8201730,0.003906
3,100,8205490,0.003907
3,101,8200945,0.003905
3,102,8203394,0.003906
3,103,8201853,0.003906
3,104,8197304,0.003903
3,105,8199225,0.003904
3,106,8194224,0.003902
3,107,8198168,0.003904
3,108,8200780,0.003905
3,109,8202074,0.003906
3,110,8208004,0.003909
3,111,8201099,0.003905
3,112,8199799,0.003905
3,113,8204543,0.003907
3,114,8203322,0.003906
3,115,8202743,0.003906
3,116,8202149,0.003906
3,117,8194118,0.003902
3,118,8203781,0.003907
3,119,8202993,0.003906
3,120,8205372,0.003907
3,121,8198166,0.003904
3,122,8206099,0.003908
3,123,8201231,0.003905
3,124,8204356,0.003907
3,125,8199668,0.003905
3,126,8204641,0.003907
3,127,8204089,0.003907
3,128,8205490,0.003907
3,129,8210900,0.003910
3,130,8209427,0.003909
3,131,8203105,0.003906
3,132,8203715,0.003907
3,133,8206003,0.003908
3,134,8205189,0.003907
3,135,8210145,0.003910
3,136,8204488,0.003907
3,137,8204503,0.003907
3,138,8203792,0.003907
3,139,8198852,0.003904
3,140,8208756,0.003909
3,141,8203527,0.003906
3,142,8209383,0.003909
3,143,8199597,0.003905
3,144,8203018,0.003906
3,145,8209360,0.003909
3,146,8205840,0.003908
