0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2147483648,8.000000,262.046962,127.499740,3.141718,0.000011675349060
2,Value,Occurrences,Fraction
3,0,8390460,0.003907
3,1,8391989,0.003908
3,2,8382798,0.003904
3,3,8389297,0.003907
3,4,8392350,0.003908
3,5,8387853,0.003906
3,6,8387510,0.003906
3,7,8389187,0.003907
3,8,8386431,0.003905
3,9,8384902,0.003905
3,10,8385785,0.003905
3,11,8388439,0.003906
3,12,8386390,0.003905
3,13,8386469,0.003905
3,14,8390001,0.003907
3,15,8388259,0.003906
3,16,8388636,0.003906
3,17,8384973,0.003905
3,18,8391759,0.003908
3,19,8389322,0.003907
3,20,8389307,0.003907
3,21,8390659,0.003907
3,22,8391444,0.003908
3,23,8385856,0.003905
3,24,8385747,0.003905
3,25,8391480,0.003908
3,26,8389215,0.003907
3,27,8392053,0.003908
3,28,8386560,0.003905
3,29,8385509,0.003905
3,30,8386042,0.003905
3,31,8387983,0.003906
3,32,8391364,0.003908
3,33,8391098,0.003907
3,34,8388954,0.003906
3,35,8390340,0.003907
3,36,8393642,0.003909
3,37,8387327,0.003906
3,38,8390933,0.003907
3,39,8393222,0.003908
3,40,8386901,0.003905
3,41,8386624,0.003905
3,42,8394501,0.003909
3,43,8388696,0.003906
3,44,8390903,0.003907
3,45,8392489,0.003908
3,46,8388318,0.003906
3,47,8392552,0.003908
3,48,8387590,0.003906
3,49,8393789,0.003909
3,50,8388605,0.003906
3,51,8391277,0.003907
3,52,8385902,0.003905
3,53,8389938,0.003907
3,54,8385809,0.003905
3,55,8387810,0.003906
3,56,8390340,0.003907
3,57,8389210,0.003907
3,58,8388271,0.003906
3,59,8389033,0.003906
3,60,8391576,0.003908
3,61,8396371,0.003910
3,62,8384573,0.003904
3,63,8386021,0.003905
3,64,8389353,0.003907
3,65,8389434,0.003907
3,66,8392830,0.003908
3,67,8384884,0.003905
3,68,8387710,0.003906
3,69,8388914,0.003906
3,70,8388540,0.003906
3,71,8389802,0.003907
3,72,8384584,0.003904
3,73,8391752,0.003908
3,74,8389729,0.003907
3,75,8381447,0.003903
3,76,8387214,0.003906
3,77,8390831,0.003907
3,78,8385343,0.003905
3,79,8390400,0.003907
3,80,8390338,0.003907
3,81,8386943,0.003905
3,82,8383810,0.003904
3,83,8384074,0.003904
3,84,8385749,0.003905
3,85,8391014,0.003907
3,86,8389748,0.003907
3,87,8388736,0.003906
3,88,8383852,0.003904
3,89,8386470,0.003905
3,90,8386063,0.003905
3,91,8389387,0.003907
3,92,8387924,0.003906
3,93,8388069,0.003906
3,94,8390759,0.003907
3,95,8389236,0.003907
3,96,8383733,0.003904
3,97,8381499,0.003903
3,98,8389147,0.003907
3,99,8388310,0.003906
3,100,8386936,0.003905
3,101,8384547,0.003904
3,102,8384687,0.003904
3,103,8386626,0.003905
3,104,8390248,0.003907
3,105,8383731,0.003904
3,106,8392332,0.003908
3,107,8393359,0.003908
3,108,8388331,0.003906
3,109,8391828,0.003908
3,110,8389655,0.003907
3,111,8388020,0.003906
3,112,8390710,0.003907
3,113,8393718,0.003909
3,114,8387225,0.003906
3,115,8389129,0.003906
3,116,8391481,0.003908
3,117,8384969,0.003905
3,118,8391603,0.003908
3,119,8390944,0.003907
3,120,8395705,0.003910
3,121,8390918,0.003907
3,122,8390897,0.003907
3,123,8389539,0.003907
3,124,8387996,0.003906
3,125,8388006,0.003906
3,126,8387181,0.003906
3,127,8388620,0.003906
3,128,8392608,0.003908
3,129,8385493,0.003905
3,130,8391068,0.003907
3,131,8390860,0.003907
3,132,8390012,0.003907
3,133,8384208,0.003904
3,134,8390268,0.003907
3,135,8390218,0.003907
3,136,8384796,0.003904
3,137,8386445,0.003905
3,138,8386420,0.003905
3,139,8392353,0.003908
3,140,8386871,0.003905
3,141,8386617,0.003905
3,142,8388368,0.003906
3,143,8388163,0.003906
3,144,8390687,0.003907
3,145,8390651,0.003907
3,146,8388965,0.003906
3,147,8388096,0.003906
3,148,8387095,0.003906
3,149,8383811,0.003904
3,150,8388913,0.003906
3,151,8386122,0.003905
3,152,8389986,0.003907
3,153,8389835,0.003907
3,154,8381067,0.003903
3,155,8384155,0.003904
3,156,8390385,0.003907
3,157,8392953,0.003908
3,158,8385040,0.003905
3,159,8393407,0.003908
3,160,8384573,0.003904
3,161,8385465,0.003905
3,162,8391703,0.003908
3,163,8388938,0.003906
3,164,8390717,0.003907
3,165,8389897,0.003907
3,166,8390174,0.003907
3,167,8387759,0.003906
3,168,8392441,0.003908
3,169,8384003,0.003904
3,170,8387403,0.003906
3,171,8387384,0.003906
3,172,8387132,0.003906
3,173,8387531,0.003906
3,174,8382012,0.003903
3,175,8392656,0.003908
3,176,8382637,0.003903
3,177,8389668,0.003907
3,178,8388248,0.003906
3,179,8389986,0.003907
3,180,8389928,0.003907
3,181,8388720,0.003906
3,182,8385365,0.003905
3,183,8383549,0.003904
3,184,8387094,0.003906
3,185,8385948,0.003905
3,186,8387032,0.003906
3,187,8385957,0.003905
3,188,8389470,0.003907
3,189,8390177,0.003907
3,190,8391933,0.003908
3,191,8392768,0.003908
3,192,8385857,0.003905
3,193,8392757,0.003908
3,194,8387413,0.003906
3,195,8385721,0.003905
3,196,8385452,0.003905
3,197,8387785,0.003906
3,198,8388147,0.003906
3,199,8387901,0.003906
3,200,8385953,0.003905
3,201,8384426,0.003904
3,202,8387531,0.003906
