0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,2147483648,8.000000,234.629241,127.499512,3.141524,-0.000019643130228
2,Value,Occurrences,Fraction
3,0,8394342,0.003909
3,1,8389061,0.003906
3,2,8385656,0.003905
3,3,8380447,0.003902
3,4,8391641,0.003908
3,5,8387382,0.003906
3,6,8385020,0.003905
3,7,8386855,0.003905
3,8,8388989,0.003906
3,9,8391007,0.003907
3,10,8391745,0.003908
3,11,8390112,0.003907
3,12,8390833,0.003907
3,13,8387777,0.003906
3,14,8386655,0.003905
3,15,8391982,0.003908
3,16,8385183,0.003905
3,17,8388588,0.003906
3,18,8389091,0.003906
3,19,8390847,0.003907
3,20,8388415,0.003906
3,21,8393015,0.003908
3,22,8388588,0.003906
3,23,8390186,0.003907
3,24,8387570,0.003906
3,25,8388977,0.003906
3,26,8386253,0.003905
3,27,8388127,0.003906
3,28,8389716,0.003907
3,29,8385405,0.003905
3,30,8392883,0.003908
3,31,8393803,0.003909
3,32,8382922,0.003904
3,33,8384482,0.003904
3,34,8389809,0.003907
3,35,8393404,0.003908
3,36,8385416,0.003905
3,37,8389619,0.003907
3,38,8390509,0.003907
3,39,8386414,0.003905
3,40,8388031,0.003906
3,41,8391573,0.003908
3,42,8383724,0.003904
3,43,8384901,0.003905
3,44,8388627,0.003906
3,45,8385376,0.003905
3,46,8383225,0.003904
3,47,8387886,0.003906
3,48,8390653,0.003907
3,49,8386186,0.003905
3,50,8393505,0.003909
3,51,8389854,0.003907
3,52,8387943,0.003906
3,53,8386211,0.003905
3,54,8385393,0.003905
3,55,8383872,0.003904
3,56,8386200,0.003905
3,57,8386062,0.003905
3,58,8385692,0.003905
3,59,8383822,0.003904
3,60,8391372,0.003908
3,61,8391159,0.003907
3,62,8390363,0.003907
3,63,8391339,0.003908
3,64,8388100,0.003906
3,65,8387443,0.003906
3,66,8388070,0.003906
3,67,8385526,0.003905
3,68,8389979,0.003907
3,69,8387142,0.003906
3,70,8391116,0.003907
3,71,8383717,0.003904
3,72,8389667,0.003907
3,73,8386589,0.003905
3,74,8390251,0.003907
3,75,8391133,0.003907
3,76,8389688,0.003907
3,77,8393181,0.003908
3,78,8387927,0.003906
3,79,8388332,0.003906
3,80,8386001,0.003905
3,81,8388581,0.003906
3,82,8385670,0.003905
3,83,8390776,0.003907
3,84,8390590,0.003907
3,85,8386760,0.003905
3,86,8391622,0.003908
3,87,8387076,0.003906
3,88,8386979,0.003905
3,89,8393618,0.003909
3,90,8385122,0.003905
3,91,8390356,0.003907
3,92,8388021,0.003906
3,93,8388995,0.003906
3,94,8392705,0.003908
3,95,8388796,0.003906
3,96,8390299,0.003907
3,97,8391639,0.003908
3,98,8393774,0.003909
3,99,8386562,0.003905
3,100,8393138,0.003908
3,101,8390806,0.003907
3,102,8384756,0.003904
3,103,8391049,0.003907
3,104,8385767,0.003905
3,105,8393005,0.003908
3,106,8390213,0.003907
3,107,8387865,0.003906
3,108,8391006,0.003907
3,109,8386504,0.003905
3,110,8391448,0.003908
3,111,8387980,0.003906
3,112,8390077,0.003907
3,113,8388484,0.003906
3,114,8392742,0.003908
3,115,8387980,0.003906
3,116,8388541,0.003906
3,117,8391100,0.003907
3,118,8383825,0.003904
3,119,8390166,0.003907
3,120,8386818,0.003905
3,121,8386196,0.003905
3,122,8389090,0.003906
3,123,8393162,0.003908
3,124,8391289,0.003907
3,125,8388053,0.003906
3,126,8391001,0.003907
3,127,8387461,0.003906
3,128,8384425,0.003904
3,129,8388152,0.003906
3,130,8386614,0.003905
3,131,8388210,0.003906
3,132,8390989,0.003907
3,133,8391377,0.003908
3,134,8385333,0.003905
3,135,8389772,0.003907
3,136,8391593,0.003908
3,137,8389131,0.003906
3,138,8387400,0.003906
3,139,8390095,0.003907
3,140,8394090,0.003909
3,141,8387098,0.003906
3,142,8390849,0.003907
3,143,8384405,0.003904
3,144,8385237,0.003905
3,145,8388565,0.003906
3,146,8392135,0.003908
3,147,8388245,0.003906
3,148,8392089,0.003908
3,149,8387807,0.003906
3,150,8390640,0.003907
3,151,8392378,0.003908
3,152,8385157,0.003905
3,153,8391228,0.003907
3,154,8387489,0.003906
3,155,8391414,0.003908
3,156,8386179,0.003905
3,157,8387009,0.003906
3,158,8383970,0.003904
3,159,8396926,0.003910
3,160,8386782,0.003905
3,161,8386147,0.003905
3,162,8387591,0.003906
3,163,8389870,0.003907
3,164,8385837,0.003905
3,165,8392363,0.003908
3,166,8388267,0.003906
3,167,8387900,0.003906
3,168,8389821,0.003907
3,169,8389912,0.003907
3,170,8393523,0.003909
3,171,8390784,0.003907
3,172,8388566,0.003906
3,173,8392115,0.003908
3,174,8384266,0.003904
3,175,8385459,0.003905
3,176,8387338,0.003906
3,177,8388896,0.003906
3,178,8392601,0.003908
3,179,8382922,0.003904
3,180,8387373,0.003906
3,181,8389856,0.003907
3,182,8391651,0.003908
3,183,8392784,0.003908
3,184,8389376,0.003907
3,185,8390381,0.003907
3,186,8390047,0.003907
3,187,8389472,0.003907
3,188,8382870,0.003904
3,189,8389017,0.003906
3,190,8383516,0.003904
3,191,8380688,0.003903
3,192,8391436,0.003908
3,193,8389540,0.003907
3,194,8388163,0.003906
3,195,8390874,0.003907
3,196,8395299,0.003909
3,197,8392199,0.003908
3,198,8385950,0.003905
3,199,8387076,0.003906
3,200,8391727,0.003908
3,201,8389532,0.003907
3,202,8387192,0.003906
3,203,8388454,0.003906
3,204,8391161,0.003907
3,205,8389021,0.003906
3,206,8389313,0.003907
3,207,8389618,0.003907
3,208,8388722,0.003906
3,209,8389106,0.003906
3,210,8387172,0.003906
3,211,8387292,0.003906
3,212,8386204,0.003905
3,213,8389118,0.003906
3,214,8384648,0.003904
3,215,8388562,0.003906
3,216,8384333,0.003904
3,217,8386607,0.003905
3,218,8387972,0.003906
3,219,8382309,0.003903
3,220,8388795,0.003906
3,221,8385418,0.003905
3,222,8388209,0.003906
3,223,8386906,0.003905
3,224,8389824,0.003907
3,225,8390489,0.003907
3,226,8385497,0.003905
3,227,8385523,0.003905
3,228,8388717,0.003906
3,229,8389148,0.003907
3,230,8387261,0.003906
3,231,8387934,0.003906
3,232,8384787,0.003904
3,233,8388554,0.003906
3,234,8386233,0.003905
3,235,8384921,0.003905
3,236,8387596,0.003906
3,237,8390442,0.003907
3,238,8387394,0.003906
3,239,8387195,0.003906
3,240,8392435,0.003908
3,241,8388496,0.003906
3,242,8388831,0.003906
3,243,8392180,0.003908
3,244,8388561,0.003906
3,245,8386608,0.003905
3,246,8386954,0.003905
3,247,8388631,0.003906
3,248,8388742,0.003906
3,249,8389656,0.003907
3,250,8392930,0.003908
3,251,8389712,0.003907
3,252,8386468,0.003905
3,253,8387856,0.003906
3,254,8387838,0.003906
3,255,8391295,0.003908
